SKU,FD1ToFD14Units,ML14DayForecastUnits,Recent14DayUnits,SelectedByMLThreshold,RecentFallbackWeight
58660-4ON-S,17282,318.6615088680744,169.8703964522574,True,0.0
84433-68I-120,4855,318.6615088680744,258.31324298271,True,0.0
84433-68I-130,4855,318.6615088680744,228.74877870340853,True,0.0
58662-4O4-S,2286,0.0,204.69633318804466,False,0.1
83553-3WB-M,1962,0.0,5.261472456485849,False,0.1
58663-4SX-S,1596,0.0,135.0444597164701,False,0.1
58665-4TF-XS,1482,0.0,130.78517248979108,False,0.1
58665-4TE-XS,1368,0.0,115.50184773523696,False,0.1
50763-4SJ-S,1254,0.0,107.98545851168575,False,0.1
58663-011-L,1254,0.0,105.47999543716868,False,0.1
58663-4SX-M,1254,0.0,105.9810880520721,False,0.1
51218-2KQ-S,1179,0.0,92.95268006458332,False,0.1
58662-4SQ-M,1140,0.0,99.46688405832771,False,0.1
58662-4SQ-S,1140,0.0,97.71305990616577,False,0.1
58663-4SZ-S,1140,0.0,98.9657914434243,False,0.1
58665-4TD-S,1140,0.0,99.46688405832771,False,0.1
58665-4TD-XS,1140,0.0,101.72180082539307,False,0.1
58665-4TG-XS,1140,0.0,97.96360621361745,False,0.1
58660-4NA-S,1134,0.0,208.95562041472368,False,0.1
82153-2XP-S,1048,0.0,80.17481838454627,False,0.1
58662-4SU-M,1026,0.0,91.19885591242138,False,0.1
58662-4SU-S,1026,0.0,87.94175391554919,False,0.1
58663-011-XL,1026,0.0,88.4428465304526,False,0.1
58663-4T4-M,1026,0.0,90.44721699006625,False,0.1
58660-4PQ-S,972,0.0,177.6373319832603,False,0.1
82206-4ZF-L/XL,919,0.0,8.017481838454625,False,0.1
58660-4NA-M,918,0.0,170.62203537461252,False,0.1
58660-4SK-S,918,0.0,170.8725816820642,False,0.1
65249-2KV-S,917,0.0,66.8958640896058,False,0.1
84037-5IU-XS,917,0.0,66.14422516725067,False,0.1
84038-5IU-S,917,0.0,67.89804931941262,False,0.1
58662-4O4-M,912,0.0,81.4275499218048,False,0.1
58662-4SP-XS,912,0.0,84.68465191867699,False,0.1
58663-011-M,912,0.0,84.18355930377358,False,0.1
58663-4SZ-M,912,0.0,82.93082776651504,False,0.1
58665-4TF-S,912,0.0,78.42099423238432,False,0.1
58665-4TG-S,912,0.0,82.17918884415991,False,0.1
58661-4NA-M,864,0.0,161.35182199889937,False,0.1
58660-4ON-M,810,0.0,149.32559924121742,False,0.1
58660-4SK-M,810,0.0,153.08379385299304,False,0.1
50763-UD9-XL,798,0.0,70.9046050088331,False,0.1
58662-4SM-M,798,0.0,71.65624393118821,False,0.1
58663-4T4-L,798,0.0,72.65842916099506,False,0.1
58663-4TA-L,798,0.0,66.8958640896058,False,0.1
84038-5IU-XS,786,0.0,55.62128025427897,False,0.1
45346-5HB-120,756,0.0,269.3372805105851,False,0.1
58661-4PX-L,702,0.0,126.52588526311206,False,0.1
50763-4SJ-M,684,0.0,56.87401179153751,False,0.1
58662-4O4-XS,684,0.0,58.377289636247745,False,0.1
58662-4SM-L,684,0.0,56.122372869182385,False,0.1
58663-4TA-M,684,0.0,56.6234654840858,False,0.1
58665-4TE-S,684,0.0,59.63002117350628,False,0.1
84037-5IU-S,655,0.0,47.60379841582434,False,0.1
58660-4NA-XS,648,0.0,119.76113496191599,False,0.1
58660-4PQ-M,594,0.0,112.24474573836477,False,0.1
58661-4ON-M,594,0.0,114.75020881288185,False,0.1
58661-4PX-M,594,0.0,113.4974772756233,False,0.1
43205-5HC-120,588,0.0,209.20616672217542,False,0.1
45346-5HB-110,588,0.0,205.1974258029481,False,0.1
50764-011-XL,570,0.0,45.59942795621069,False,0.1
50764-4SW-S,570,0.0,45.348881648758976,False,0.1
58662-4SM-S,570,0.0,49.8587151828897,False,0.1
58662-4SQ-L,570,0.0,51.11144672014824,False,0.1
58663-4SX-XS,570,0.0,53.86745610211702,False,0.1
58663-4T4-S,570,0.0,49.608168875438,False,0.1
58663-4T4-XL,570,0.0,51.61253933505166,False,0.1
58665-011-XS,570,0.0,49.3576225679863,False,0.1
50754-4SN-S,540,0.0,101.97234713284479,False,0.1
58660-4ON-XS,540,0.0,96.71087467635894,False,0.1
58661-4NA-S,540,0.0,104.22726389991014,False,0.1
51218-2KQ-M,524,0.0,36.07866827304582,False,0.1
