Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,OvergeneratedZeroDemandUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgSoldUnitForecastCoveragePct,WAPE,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,ZeroForecastSoldUnitPct
ml_hgb_absolute_log_raw_future_guardrail_min_15p0_units,26,7443864.806621298,7334496.0,6260921.243855985,2074156.0,657515.2985656527,1435565.0,5529.461538461538,0.6628596521772321,0.8536266491734381,109368.8066212982,0.01491156401493684,0.28279461874408274
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,26,6916529.827683892,7334496.0,6298901.459341827,2538289.0,507447.2258298088,1866702.0,4308.461538461538,0.5973848979941603,0.8588049484711461,-417966.1723161079,-0.05698635220690118,0.3460754494923714
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,26,8390552.628576685,7334496.0,7051132.414861034,2335189.0,668848.3711421605,1673664.0,4794.384615384615,0.6246294955418291,0.9613656364201485,1056056.6285766847,0.1439848939281833,0.3183843852392857
ml_hgb_absolute_log_raw_future_guardrail_min_10p0_units,26,12372587.480702523,7334496.0,9453532.067061571,830076.0,3887637.8481917926,493647.0,19307.346153846152,0.8678661398504368,1.2889136577430231,5038091.480702523,0.6869035692026451,0.11317423855708694
ml_hgb_absolute_log_raw_future_guardrail_min_5p0_units,26,12558398.694253514,7334496.0,9536087.663572699,731701.0,3995379.4856771193,423084.0,20244.5,0.8823822193634298,1.3001694545300315,5223902.694253514,0.7122374453886829,0.09976159234390475
ml_hgb_absolute_log_raw_future_guardrail_all_positive,26,12581452.030472646,7334496.0,9541891.47523371,7075.0,4009092.1161208223,1468.0,45987.769230769234,0.9986695358238513,1.3009607579353386,5246956.030472646,0.7153805838155267,0.0009646197911894696
ml_hgb_absolute_log_calibrated_future_guardrail_min_15p0_units,26,13178647.206959,7334496.0,9994985.483904302,1064256.0,3631828.0134167196,653756.0,15878.807692307691,0.82388414432474,1.362736510307498,5844151.206959,0.7968033804857212,0.14510281279040851
ml_hgb_absolute_log_calibrated_future_guardrail_min_10p0_units,26,14465905.13811615,7334496.0,10897892.927032929,811523.0,4504543.672691263,481150.0,19494.423076923078,0.8707451114790635,1.4858407349370604,7131409.138116149,0.9723107270242085,0.11064468506084127
ml_hgb_absolute_log_calibrated_future_guardrail_min_5p0_units,26,14624425.873787703,7334496.0,10967109.609221026,723012.0,4595424.37077322,415869.0,20289.53846153846,0.8840282906521638,1.4952778772012456,7289929.873787703,0.9939237643305966,0.09857691653250612
ml_hgb_absolute_log_calibrated_future_guardrail_all_positive,26,14644156.979200501,7334496.0,10973984.116162537,7075.0,4608228.647238808,1468.0,45987.769230769234,0.9986695358238513,1.4962151613638532,7309660.979200501,0.9966139430985443,0.0009646197911894696
