SKU,FD1ToFD14Units,ML14DayForecastUnits,Recent14DayUnits,SelectedByMLThreshold,RecentFallbackWeight
84433-68I-120,1546,553.5725608217185,258.31324298271,True,0.0
84433-68I-130,1373,491.9639504240739,228.74877870340853,True,0.0
81644-1SA-90,1071,386.415261130811,166.6132944553852,True,0.0
84433-68I-140,986,355.7255327016253,193.17120304526614,True,0.0
81644-1SA-110,905,325.02355797311867,185.15372120681153,True,0.0
81644-1SA-120,905,325.02355797311867,191.6679252005559,True,0.0
58660-4ON-S,897,322.0684688314076,169.8703964522574,True,0.0
84433-68I-110,826,295.8117449850631,189.66355474094223,True,0.0
84433-68I-100,751,270.1150478114787,137.04883017608375,True,0.0
81718-1SA-120,710,256.50090560532465,91.19885591242138,True,0.0
58660-4ON-M,704,252.5789668525414,149.32559924121742,True,0.0
81644-1SA-130,671,242.79911828556402,135.54555233137353,True,0.0
81644-1SA-100,663,238.63349129576824,168.11657230009547,True,0.0
84433-6GT-120,642,232.54031368034373,84.68465191867699,True,0.0
84428-1WC-120,603,219.44401614119462,250.79685375915878,True,0.0
81718-1SA-100,593,216.09440059490794,70.15296608647797,True,0.0
81644-1SA-140,586,212.32088366831528,81.17700361435308,True,0.0
84433-66J-120,576,207.95412476476176,203.94469426568958,True,0.0
81718-1SA-110,573,207.15801433069586,73.15952177589847,True,0.0
58661-4NA-S,567,204.87719590283018,104.22726389991014,True,0.0
84433-68I-90,557,202.3996320643643,108.98764374149258,True,0.0
81798-1VM-120,556,199.89302672234754,0.0,True,0.0
58660-4ON-XS,546,195.81816034794392,96.71087467635894,True,0.0
58661-4PX-L,542,195.6382341742663,126.52588526311206,True,0.0
84433-66J-130,542,194.91340424718587,173.628591064033,True,0.0
84620-6GV-120,542,194.7817652104569,188.41082320368372,True,0.0
47684-5LW-150,534,193.45438658494962,0.0,True,0.0
84433-6GT-100,520,188.80160737336928,50.61035410524483,True,0.0
84433-6GT-150,517,188.3288398697361,48.60598364563117,True,0.0
58665-4TF-XS,516,186.79875823036042,130.78517248979108,True,0.0
81718-1SA-130,511,185.14093633996328,64.89149362999213,True,0.0
58663-4SX-S,508,184.07828854744474,135.0444597164701,True,0.0
82912-2RO-120,495,179.10402324991307,316.439986311506,True,0.0
58662-4O4-S,489,176.88279487412933,204.69633318804466,True,0.0
58660-4ON-L,485,175.64012893593713,79.42317946219114,True,0.0
84433-66J-110,474,170.6007651577141,165.36056291812667,True,0.0
58661-4NA-M,473,171.4039358885222,161.35182199889937,True,0.0
58663-85H-M,470,169.31657145745135,0.0,True,0.0
58663-011-L,468,168.71127501740284,105.47999543716868,True,0.0
84433-66J-140,459,166.41071651912864,141.0575710953111,True,0.0
81718-1SA-140,452,164.21628470760908,36.579760887949234,True,0.0
81766-1QH-110,432,157.25849357459825,115.00075512033354,True,0.0
82719-65Z-120,432,157.4888082352507,105.47999543716868,True,0.0
84433-6GT-110,429,154.8784721359745,68.90023454921945,True,0.0
58660-3GD-L,427,155.12792255712796,0.0,True,0.0
84428-1WC-140,422,153.38540189995217,179.39115613542228,True,0.0
82008-4KQ-110,420,151.73479926898807,0.0,True,0.0
58661-4ON-M,415,151.00982731824354,114.75020881288185,True,0.0
81718-1SA-90,409,149.11863983248006,45.59942795621069,True,0.0
84505-5ZU-110,409,149.43963095665325,225.24113039908462,True,0.0
45346-5HB-120,406,148.0098397375527,269.3372805105851,True,0.0
58661-4ON-L,403,146.94073923909215,69.40132716412285,True,0.0
82912-2RO-100,400,146.2869920495699,239.77281623128368,True,0.0
84628-6GV-120,400,145.75369504634045,133.04008925685648,True,0.0
84433-6GT-130,399,144.56895876532002,68.90023454921945,True,0.0
84505-6H6-120,399,144.64964413054622,213.71600025630613,True,0.0
81766-1QH-100,396,142.35873972786737,105.22944912971697,True,0.0
58661-4NA-L,389,139.76851717002225,93.20322637203503,True,0.0
81766-1QH-120,389,139.8954668675548,128.0291631078223,True,0.0
84084-2MH-130,382,137.64106404868218,0.0,True,0.0
84428-1WC-130,382,138.17833726729137,227.99713978105345,True,0.0
81718-68I-110,378,136.8441794715294,208.70507410727197,True,0.0
83403-5MM-75,375,135.64953149973917,100.46906928813453,True,0.0
84551-66I-80,375,135.7941453412917,52.36417825740678,True,0.0
43205-5HC-120,364,132.61182120714813,209.20616672217542,True,0.0
58662-4SQ-M,364,133.19462974930494,99.46688405832771,True,0.0
84433-66J-100,364,133.39882165540288,112.9963846607199,True,0.0
58661-4ON-S,360,131.62943450714926,72.65842916099506,True,0.0
81666-3HZ-90,360,131.88571339902154,0.0,True,0.0
84608-6CN-120,360,131.5095507545898,206.19961103275492,True,0.0
81718-1SA-85,358,129.94493097667842,29.063371664398023,True,0.0
58662-4SM-M,349,125.52920689016,71.65624393118821,True,0.0
81718-6GT-100,349,126.49782129746033,84.43410561122529,True,0.0
82778-5HR-120,346,124.52500079481318,141.8092100176662,True,0.0
84084-2MH-140,343,124.3041356450647,0.0,True,0.0
84428-1WC-150,343,124.30843672642179,148.3234140114106,True,0.0
84460-5ZO-120,343,124.39267156160386,305.9170413985343,True,0.0
67515-4NA-M,340,123.31585759525555,63.13766947783019,True,0.0
84433-6GT-140,336,122.39900363422063,51.11144672014824,True,0.0
58662-4SQ-S,332,121.17958433500725,97.71305990616577,True,0.0
84460-6GS-100,332,120.77319421067796,231.00369547047393,True,0.0
81766-1QH-90,329,120.37926925521225,96.20978206145551,True,0.0
84460-5ZO-100,329,120.31992264838576,240.0233625387354,True,0.0
84460-61J-120,329,119.63759810765032,234.26079746734615,True,0.0
84460-6GS-110,329,120.31992264838576,321.45091246054017,True,0.0
47761-2NP-90,325,119.38280094070666,0.0,True,0.0
81700-5ZA-120,322,117.21381793559654,141.5586637102145,True,0.0
58663-4SX-M,321,116.4630137174352,105.9810880520721,True,0.0
84428-6AQ-120,321,115.52246181694265,142.3103026325696,True,0.0
84620-6GV-140,321,115.56433117281229,89.19448545280771,True,0.0
58661-4PX-XL,320,115.09924280872625,75.41443854296384,True,0.0
81766-1QH-130,320,114.71895831264112,77.16826269512578,True,0.0
84428-1WC-100,320,115.47546234563744,125.77424634075695,True,0.0
84448-61J-120,319,114.07674569983483,211.71162979669248,True,0.0
84505-5ZU-100,313,113.19714268963884,161.35182199889937,True,0.0
84434-65Z-120,312,111.67312349215973,165.11001661067496,True,0.0
84460-5ZO-110,312,112.45314713565675,285.8733368023978,True,0.0
84620-6GV-100,312,112.0473618184331,116.00294035014036,True,0.0
84620-6GV-130,312,112.26435363519457,147.57177508905545,True,0.0
58660-4NA-M,310,112.53125920864613,170.62203537461252,True,0.0
81718-6GT-90,308,111.46550340494207,74.1617070057053,True,0.0
82721-6CY-120,308,110.6521122620776,56.6234654840858,True,0.0
84646-6FN-60,308,111.39552571626619,31.318288431463387,True,0.0
82719-5ZU-120,305,109.71011662250551,67.1464103970575,True,0.0
82778-M07-120,305,110.41556481700466,67.89804931941262,True,0.0
81569-1FO-120,301,108.85186054259117,0.0,True,0.0
81763-1RJ-90,301,108.87034852135189,0.0,True,0.0
82768-5YM-120,301,108.7773486203859,76.66717008022236,True,0.0
58661-4SK-M,297,108.40848651289943,52.614724564858484,True,0.0
84348-5VS-100,297,108.15315030760077,20.29425090358827,True,0.0
84428-1WC-110,297,108.28942444782537,171.37367429696764,True,0.0
84428-6AQ-130,293,106.80173034364383,149.0750529337657,True,0.0
84505-6H6-100,293,107.06907650975573,131.2862651046945,True,0.0
82719-5XD-120,292,106.47060118384748,89.94612437516284,True,0.0
83077-3F3-130,292,106.1064430500657,0.0,True,0.0
84349-5VS-100,292,106.43583025330706,14.531685832199011,True,0.0
84433-67K-130,289,106.31864014459632,96.96142098381063,True,0.0
84460-5ZU-120,289,106.04216865272996,254.3045020634827,True,0.0
82778-M07-110,288,103.92073210663158,59.37947486605457,True,0.0
82891-1SA-110,288,104.54360021036823,36.07866827304582,True,0.0
84514-6DS-120,288,104.55552255503646,50.61035410524483,True,0.0
65642-5LG-120,286,105.38872264392329,239.27172361638023,True,0.0
84338-5VS-100,284,104.01014799866121,15.53387106200584,True,0.0
84552-973-75,284,103.62816306835646,90.19667068261455,True,0.0
82778-5HR-110,281,103.14064631072088,112.24474573836477,True,0.0
84433-6GT-90,281,102.59614184556999,43.093964881693616,True,0.0
84505-6H6-110,281,102.97281910975703,194.17338827507297,True,0.0
84547-5LB-75,281,103.21690442992218,55.370733946827265,True,0.0
43205-GK3-130,280,101.64689245715724,101.72180082539307,True,0.0
58660-4SK-M,280,101.53895823923162,153.08379385299304,True,0.0
67377-015-120,280,102.39498791195061,151.83106231573447,True,0.0
81766-67K-130,280,102.18266480417003,46.1005205711141,True,0.0
81563-1UN-85,278,101.17624582917608,0.0,True,0.0
81644-1SA-150,278,101.38480775023882,54.36854871702044,True,0.0
81718-6GT-110,278,101.36598743843555,87.94175391554919,True,0.0
84090-5KM-130,278,101.13436645189101,190.41519366329737,True,0.0
84433-68I-85,278,101.35999538728416,67.64750301196091,True,0.0
82778-5SQ-120,277,99.83460822088767,100.97016190303795,True,0.0
83403-5MM-80,273,98.55090691877965,59.88056748095799,True,0.0
84329-5MZ-120,273,98.84112018081206,63.13766947783019,True,0.0
84329-5MZ-140,273,99.07250755690367,46.85215949346922,True,0.0
84434-65Z-130,273,100.31879766291817,125.52370003330523,True,0.0
84460-6GW-110,273,99.81150651570053,179.89224875032568,True,0.0
84512-5UT-130,273,98.82188031098633,40.33795549972484,True,0.0
84608-6CN-100,273,100.44796446953147,105.9810880520721,True,0.0
58665-4TD-S,270,97.60521821884879,99.46688405832771,True,0.0
82719-65Z-90,270,98.71619143108579,57.375104406440926,True,0.0
84090-5KM-120,270,98.11831115730004,193.17120304526614,True,0.0
84433-67K-120,270,98.46858420368906,101.47125451794136,True,0.0
84434-6BL-120,267,96.69029199871017,93.95486529439015,True,0.0
84448-61J-110,267,96.75322722026252,148.3234140114106,True,0.0
58660-4NA-S,264,96.11024892338116,208.95562041472368,True,0.0
67616-WE1-140,264,96.11024892338116,0.0,True,0.0
82778-5HR-130,264,96.1298074809671,111.24256050855794,True,0.0
82778-5SQ-110,264,95.73256446067418,89.19448545280771,True,0.0
84348-5VS-110,264,96.23841337339897,20.043704596136568,True,0.0
84428-1WC-90,264,96.28925881332734,91.69994852732478,True,0.0
84528-1SA-120,257,94.32924693158444,58.377289636247745,True,0.0
84638-68I-120,256,93.5503797247704,81.4275499218048,True,0.0
84561-48B-75,254,92.23119332833795,79.67372576964286,True,0.0
65642-5P5-120,253,93.25758183331124,168.11657230009547,True,0.0
82719-5ZU-100,253,93.49271601187321,45.348881648758976,True,0.0
82719-5ZU-110,253,93.26291547351707,47.85434472327605,True,0.0
84460-65Z-100,253,92.90171158734321,163.1056461510613,True,0.0
82719-5XW-110,250,90.92255162192228,65.39258624489554,True,0.0
84448-61J-100,250,91.57687706152998,103.47562497755501,True,0.0
84603-5KS-100,250,90.56838856613999,35.5775756581424,True,0.0
84641-60J-130,250,91.23808113527139,58.126743328796046,True,0.0
50763-4SJ-S,247,91.03673623912555,107.98545851168575,True,0.0
66973-2CX-150,247,88.2950828255047,0.0,True,0.0
80441-A91-120,247,91.04694526725055,118.50840342465744,True,0.0
82719-5ZU-90,247,91.4109000829355,34.82593673578728,True,0.0
58663-4SX-L,246,89.9272738197645,43.595057496597036,True,0.0
58663-4SX-XS,246,90.6973597640949,53.86745610211702,True,0.0
65642-5LG-100,246,89.59691468844913,202.691962728431,True,0.0
84329-5MZ-130,246,90.44111016390069,68.90023454921945,True,0.0
84561-48B-70,246,90.41261461878311,49.8587151828897,True,0.0
84603-5KS-130,246,89.85981396478734,45.098335341307276,True,0.0
84620-6GV-110,246,91.4886702149154,140.05538586550426,True,0.0
68119-23G-150,243,88.94163489717673,0.0,True,0.0
58662-4SM-S,242,89.27328035128127,49.8587151828897,True,0.0
81700-5ZE-120,242,88.38487408859176,95.95923575400381,True,0.0
82576-2PQ-85,242,87.94961156410625,0.0,True,0.0
82719-5XW-120,242,89.08338604015813,66.14422516725067,True,0.0
82778-5HR-140,242,87.66514267923361,87.94175391554919,True,0.0
84091-5UF-130,242,87.67741094574455,0.0,True,0.0
84338-5VT-110,242,87.54352237709196,18.540426751426324,True,0.0
84428-6GE-100,242,89.27858765938798,88.19230022300088,True,0.0
84460-61J-110,242,88.19121334360588,200.93813857626907,True,0.0
84492-5WH-90,242,88.0795821167494,70.9046050088331,True,0.0
52309-4SL-M,239,87.12992434371625,75.41443854296384,True,0.0
80617-5ZU-80,239,86.75508027756163,97.71305990616577,True,0.0
81718-6GT-120,239,86.00032799027103,88.6933928379043,True,0.0
82788-5XF-120,239,87.12992434371625,70.65405870138139,True,0.0
84204-5OV-S,239,87.12992434371625,93.95486529439015,True,0.0
84428-6GE-120,239,86.75508027756163,80.17481838454627,True,0.0
84460-61J-130,239,86.18947392719188,132.53899664195305,True,0.0
58660-4ON-XL,236,86.00592563648004,37.331399810304355,True,0.0
81700-5ZA-110,236,84.54033119264348,125.02260741840183,True,0.0
83403-4NE-75,236,84.60732360091487,0.0,True,0.0
84525-6AW-M,236,86.44464940729179,40.839048114628255,True,0.0
84306-66I-75,233,83.98740179398445,94.70650421674527,True,0.0
84460-6GS-130,232,84.54417049743631,113.4974772756233,True,0.0
43205-5HC-100,229,83.24791587766073,149.82669185612085,True,0.0
58660-4PQ-S,229,83.34081798024874,177.6373319832603,True,0.0
82912-2RO-90,229,83.43685648117548,154.58707169770327,True,0.0
84628-6GV-100,229,84.12234503647304,77.9199016174809,True,0.0
58661-4NA-XS,227,83.4017503589165,37.83249242520777,True,0.0
80467-5M5-140,226,82.4232407969544,9.019667068261455,True,0.0
82719-5ZU-130,226,82.3377451329743,49.8587151828897,True,0.0
83146-3IW-XXL,226,82.31102570767028,0.0,True,0.0
84349-5VS-110,226,82.22818513202787,14.030593217295596,True,0.0
84426-6GT-70,226,82.48502332611119,49.3576225679863,True,0.0
84434-65K-120,226,82.12427554205172,95.20759683164869,True,0.0
84460-6GS-90,226,82.03789897488548,146.56958985924865,True,0.0
84638-68I-130,226,82.48189139825558,50.359807797793124,True,0.0
82285-3RE-80,223,80.11380562359555,0.0,True,0.0
43205-5HC-110,222,80.67268595985922,179.39115613542228,True,0.0
43205-5HC-130,222,80.93614978845306,127.27752418546719,True,0.0
59852-VK6-150,222,81.28047696902185,0.0,True,0.0
67522-5SC-130,222,80.68653307258914,109.9898289712994,True,0.0
84338-5VT-120,222,80.76015597168455,21.2964361333951,True,0.0
