CandidateID,SourceWorkbook,ForecastStartDate,SKU,ForecastDay,ForecastDate,ForecastUnits
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XS,13,2026-06-28,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XS,14,2026-06-29,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,1,2026-06-16,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,2,2026-06-17,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,3,2026-06-18,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,4,2026-06-19,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,5,2026-06-20,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,6,2026-06-21,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,7,2026-06-22,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,8,2026-06-23,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,9,2026-06-24,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,10,2026-06-25,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,11,2026-06-26,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,12,2026-06-27,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,13,2026-06-28,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-011-XXL,14,2026-06-29,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,1,2026-06-16,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,2,2026-06-17,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,3,2026-06-18,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,4,2026-06-19,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,5,2026-06-20,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,6,2026-06-21,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,7,2026-06-22,1
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,8,2026-06-23,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,9,2026-06-24,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,10,2026-06-25,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,11,2026-06-26,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,12,2026-06-27,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,13,2026-06-28,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-L,14,2026-06-29,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-M,1,2026-06-16,0
planner_anchored_hybrid_95_2026-06-16_v2,Product Info for BRG_2026-06-15__planner_anchored_hybrid_95_2026-06-16_v2.xlsx,2026-06-16,30070-SR4-M,2,2026-06-17,0
