event_name,start_date,end_date,promo_scope,notes
Labor Day Event: 40% off sitewide,2026-08-26,2026-09-07,Sitewide|Holiday excluded|New Arrivals excluded,"User-supplied 2026-08-17; 40% off sitewide excluding Holiday new arrivals. No PDL or SKU eligibility list received."
Surprise extension: FUN20 20% off,2026-09-08,2026-09-08,Sitewide|Coupon,"User-supplied 2026-08-17; 20% off with code FUN20. No PDL or SKU eligibility list received."
