Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,OvergeneratedZeroDemandUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgSoldUnitForecastCoveragePct,WAPE,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,ZeroForecastSoldUnitPct
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,26,7426457.327683892,7334496.0,6179952.359341827,184516.0,592918.6258298088,89825.0,17017.30769230769,0.9664162350011385,0.8425871879051849,91961.3276838921,0.012538193174267475,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05,26,7171493.577683892,7334496.0,6187457.8093418265,184516.0,550182.9258298088,89825.0,17017.30769230769,0.9664162350011385,0.8436104961188644,-163002.4223161079,-0.022224079516316855,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p15,26,7681421.077683892,7334496.0,6213405.909341827,184516.0,635654.3258298088,89825.0,17017.30769230769,0.9664162350011385,0.8471483124868876,346925.0776838921,0.0473004658648518,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p2,26,7936384.827683892,7334496.0,6267409.659341827,184516.0,678390.0258298088,89825.0,17017.30769230769,0.9664162350011385,0.8545112928470923,601888.8276838921,0.08206273855543614,0.025157284154221367
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,26,6916529.827683892,7334496.0,6298901.459341827,2538289.0,507447.2258298088,1866702.0,4308.461538461538,0.5973848979941603,0.8588049484711461,-417966.1723161079,-0.05698635220690118,0.3460754494923714
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p25,26,8191348.577683892,7334496.0,6335516.209341827,184516.0,721125.7258298087,89825.0,17017.30769230769,0.9664162350011385,0.8637970774463339,856852.5776838921,0.11682501124602046,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p3,26,8446312.327683892,7334496.0,6415420.5593418265,184516.0,763861.4258298088,89825.0,17017.30769230769,0.9664162350011385,0.8746913979286138,1111816.327683892,0.15158728393660478,0.025157284154221367
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1,26,8873670.628576685,7334496.0,6947353.014861032,184329.0,753385.6711421605,89739.0,17139.076923076922,0.96644690952646,0.9472161433943154,1539174.6285766847,0.20985417792533867,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05,26,8632111.628576685,7334496.0,6949715.414861033,184329.0,711117.0211421605,89739.0,17139.076923076922,0.96644690952646,0.9475382377822598,1297615.6285766847,0.176919535926761,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p15,26,9115229.628576685,7334496.0,6984076.414861033,184329.0,795654.3211421606,89739.0,17139.076923076922,0.96644690952646,0.9522230859299715,1780733.6285766847,0.24278881992391635,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p2,26,9356788.628576685,7334496.0,7040571.214861033,184329.0,837922.9711421606,89739.0,17139.076923076922,0.96644690952646,0.9599257010789879,2022292.6285766847,0.27572346192249403,0.025131788196489573
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,26,8390552.628576685,7334496.0,7051132.414861034,2335189.0,668848.3711421605,1673664.0,4794.384615384615,0.6246294955418291,0.9613656364201485,1056056.6285766847,0.1439848939281833,0.3183843852392857
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p25,26,9598347.628576685,7334496.0,7110541.414861033,184329.0,880191.6211421605,89739.0,17139.076923076922,0.96644690952646,0.9694655794837209,2263851.6285766847,0.3086581039210717,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p3,26,9839906.628576685,7334496.0,7191712.214861033,184329.0,922460.2711421605,89739.0,17139.076923076922,0.96644690952646,0.9805325703171741,2505410.6285766847,0.3415927459196494,0.025131788196489573
