Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,CurrentBaselineUnits,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,DirectPickLiftProjection,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,GapVsHybrid10Cap085,ProjectionToHybridRatio
Adult Sleep,S W sleepwear,S W LJ top,Sleep,169.0,110.0,4.074074074074074,57.03703703703704,2.962987012987013,193.0,28.0,6.892857142857143,285.92824675324675,1099.0,151.0,0.8,0.6285714285714287,5963.0,148.0,148.0,148.0,148.0,153.0,153.0,153.0,153.0,110.67723099753186,132.92824675324675,1.8688120702826585
Collab Accessories,CA non clothing,CA nc misc,Collab Access,463.0,356.0,13.185185185185185,184.59259259259258,2.5082263242375604,176.0,28.0,6.285714285714286,220.72391653290532,336.0,48.0,0.8,0.6932038834951457,1485.0,89.0,89.0,89.0,89.0,95.0,95.0,95.0,95.0,115.90020144910079,125.72391653290532,2.3234096477147927
Collab Accessories,CA misc,CA misc hat-glove,Collab Access,47.0,26.0,0.9629629629629629,13.481481481481481,3.4862637362637363,74.0,28.0,2.642857142857143,128.99175824175825,56.0,8.0,0.59,0.21772727272727274,513.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,53.97069466621217,124.99175824175825,32.24793956043956
Collab Sleepwear,CS AU sleep,CS AU misc,Sleep,76.0,39.0,1.4444444444444444,20.22222222222222,3.758241758241758,96.0,28.0,3.4285714285714284,180.39560439560438,434.0,56.0,0.6000000000000001,0.38623533548572714,2068.0,57.0,57.0,57.0,57.0,60.0,60.0,60.0,60.0,59.19366511778109,120.39560439560438,3.006593406593406
Boys,B outerwear,B ow,Outerwear,114.0,39.0,1.4444444444444444,20.22222222222222,5.637362637362638,44.0,28.0,1.5714285714285714,124.02197802197803,112.0,16.0,0.7000000000000001,0.7000000000000001,136.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,30.342971194828962,120.02197802197803,31.005494505494507
Boys,B sweater,B swtr pullover,Sweater,3.0,4.0,0.14814814814814814,2.074074074074074,1.4464285714285716,298.0,28.0,10.642857142857142,215.51785714285717,504.0,72.0,0.7000000000000001,0.6513157894736843,806.0,89.0,89.0,89.0,89.0,96.0,96.0,96.0,96.0,149.7251529449757,119.51785714285717,2.244977678571429
W Baby Sleepwear,WBS footless sleeper,WBS footless print,M&B,50.0,128.0,4.7407407407407405,66.37037037037037,0.7533482142857143,224.0,28.0,8.0,84.375,133.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.34099386682318,84.375,
Baby Apparel,Bby dress,Bby LS dress,Dress,112.0,97.0,3.5925925925925926,50.2962962962963,2.2268041237113403,490.0,28.0,17.5,545.5670103092783,2350.0,272.0,0.7000000000000001,0.37111130875240345,1919.0,450.0,450.0,450.0,450.0,463.0,463.0,463.0,463.0,272.0918892388761,82.56701030927832,1.1783304758299749
Collab Sleepwear,CS Kids Unisex sleep,CS KU set,Sleep,399.0,153.0,5.666666666666667,79.33333333333334,5.029411764705881,143.0,28.0,5.107142857142857,359.6029411764705,1246.0,169.0,0.7000000000000001,0.6029411764705882,1589.0,291.0,291.0,291.0,291.0,294.0,294.0,294.0,294.0,75.60871510842627,65.6029411764705,1.2231392557022807
Adult Apparel,O womens apparel,O womens apparel swim,Swim,274.0,957.0,35.44444444444444,496.2222222222222,0.5521719659650695,1050.0,28.0,37.5,289.8902821316615,308.0,44.0,0.49,0.49000000000000005,576.0,212.0,212.0,212.0,212.0,225.0,225.0,225.0,225.0,523.0431837928304,64.89028213166148,1.2884012539184955
Other,S Pet Johns,S pet johns print,Sleep,246.0,190.0,7.037037037037037,98.51851851851852,2.4969924812030073,114.0,28.0,4.071428571428571,142.32857142857142,1575.0,176.0,0.7000000000000001,0.27049180327868855,3371.0,84.0,84.0,84.0,84.0,85.0,85.0,85.0,85.0,55.21425905944286,57.32857142857142,1.674453781512605
Baby Accessories,BA moc-slipper,BA moc-slipper-misc,Accessories,222.0,411.0,15.222222222222221,213.1111111111111,1.0417101147028156,119.0,28.0,4.25,61.98175182481753,175.0,21.0,0.6000000000000001,0.4800888888888889,653.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,82.32396283187202,53.98175182481753,7.747718978102191
Collab Sleepwear,CS W sleep,CS W top,Sleep,680.0,233.0,8.62962962962963,120.81481481481481,5.62844880441447,29.0,28.0,1.0357142857142858,81.61250766400983,476.0,68.0,0.7000000000000001,0.7000000000000001,826.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,17.65861438387587,53.612507664009826,2.9147324165717796
Collab Apparel,C Baby,C Bby jkt-vest,Collab Baby,39.0,67.0,2.4814814814814814,34.74074074074074,1.1226012793176972,141.0,28.0,5.035714285714286,79.14339019189765,112.0,10.0,0.6428571428571428,0.6168181818181817,1442.0,30.0,30.0,30.0,30.0,34.0,34.0,34.0,34.0,54.219407544858306,45.14339019189765,2.327746770349931
Collab Apparel,C Boy,C B sweater,Collab Boy,73.0,131.0,4.851851851851852,67.92592592592592,1.074700109051254,89.0,28.0,3.1785714285714284,47.8241548527808,112.0,16.0,0.54,0.54,146.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,43.27604088442819,42.8241548527808,9.56483097055616
Adult Sleep,S AU sleepwear,S AU LJ bottom,Sleep,849.0,1222.0,45.25925925925926,633.6296296296297,1.3398994622398877,675.0,28.0,24.107142857142858,452.2160685059621,3640.0,435.0,0.8,0.371961257933125,6701.0,394.0,394.0,394.0,394.0,411.0,411.0,411.0,411.0,407.889120979668,41.216068505962085,1.1002824051239954
Adult Sleep,S W sleepwear,S W nightgown,Sleep,66.0,51.0,1.8888888888888888,26.444444444444443,2.495798319327731,54.0,28.0,1.9285714285714286,67.38655462184875,1008.0,111.0,0.7000000000000001,0.34123711340206186,852.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,34.32237725316718,39.386554621848745,2.4066626650660266
Kids Accessories,KA tight,KA tight footed,Accessories,21.0,12.0,0.4444444444444444,6.222222222222221,3.3750000000000004,23.0,28.0,0.8214285714285714,38.81250000000001,252.0,36.0,0.6000000000000001,0.6000000000000002,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,29.099406801598267,35.81250000000001,12.937500000000002
Collab Sleepwear,CS Kids Unisex sleep,CS KU 1pc,Sleep,18.0,6.0,0.2222222222222222,3.1111111111111107,5.7857142857142865,8.0,28.0,0.2857142857142857,23.142857142857146,35.0,5.0,0.2,0.2,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.228118936984363,23.142857142857146,
Collab Apparel,C Boy,C B top,Collab Boy,15.0,21.0,0.7777777777777778,10.88888888888889,1.3775510204081631,112.0,28.0,4.0,77.14285714285714,406.0,53.0,0.2,0.2,557.0,58.0,58.0,58.0,58.0,61.0,61.0,61.0,61.0,60.43722951101178,16.14285714285714,1.2646370023419202
Collab Sleepwear,CS W sleep,CS W bottom,Sleep,819.0,296.0,10.962962962962964,153.4814814814815,5.336148648648648,50.0,28.0,1.7857142857142858,133.4037162162162,518.0,68.0,0.7000000000000001,0.5365853658536587,2009.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,29.348119680244405,15.403716216216196,1.1305399679340356
W Baby Apparel,WBby dress,WBby SS dress,M&B,24.0,53.0,1.962962962962963,27.48148148148148,0.8733153638814016,35.0,28.0,1.25,15.283018867924529,112.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.674059840122203,15.283018867924529,
Collab Apparel,C Girl,C G pant,Collab Girl,33.0,64.0,2.3703703703703702,33.18518518518518,0.9944196428571429,487.0,28.0,17.392857142857142,242.1411830357143,168.0,16.0,0.2,0.2,631.0,234.0,234.0,234.0,234.0,237.0,237.0,237.0,237.0,121.62059765796198,5.141183035714306,1.0216927554249549
W Baby Apparel,WBby pant,WBby k pant,M&B,12.0,30.0,1.1111111111111112,15.555555555555557,0.7714285714285714,3.0,28.0,0.10714285714285714,1.157142857142857,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.212673480738031,1.157142857142857,
Collab Sleepwear,CS Kids Unisex sleep,CS KU nightgown,Sleep,246.0,231.0,8.555555555555555,119.77777777777777,2.0538033395176254,29.0,28.0,1.0357142857142858,29.78014842300557,252.0,36.0,0.7000000000000001,0.7000000000000001,37.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,13.927921204183786,0.7801484230055706,1.0269016697588127
W Baby Sleepwear,WBS footless sleeper,WBS footless print,M+B,3.0,11.0,0.4074074074074074,5.703703703703703,0.525974025974026,2.0,28.0,0.07142857142857142,0.525974025974026,42.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243564393230695,0.525974025974026,
W Kids Unisex Slee,WS KU SJ,WS KU SJ print,M+B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497425757292278,0.0,
W Baby Sleepwear,WBS 1pc,WBS misc,M&B,0.0,4.0,0.14814814814814814,2.074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby top,WBby LS top,M&B,0.0,0.0,0.0,0.0,0.0,4.0,28.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.740990150522973,0.0,
W Baby Apparel,WBby swimwear,WBby swim rash guard,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.704950752614867,0.0,
W Baby Apparel,WBby swimwear,WBby swim 2pc,M&B,0.0,0.0,0.0,0.0,0.0,33.0,28.0,1.1785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.120000743260043,0.0,
W Baby Apparel,WBby sets,WBby SS set,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.32237725316718,0.0,
W Baby Apparel,WBby dress,WBby SS dress,M+B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248712878646139,0.0,
W Baby Apparel,WBby sets,WBby LS set,Other,0.0,0.0,0.0,0.0,0.0,18.0,28.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.927921204183784,0.0,
W Baby Apparel,WBby sets,WBby SL set,Other,0.0,85.0,3.1481481481481484,44.074074074074076,0.0,1.0,28.0,0.03571428571428571,0.0,196.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243564393230695,0.0,
W Baby Apparel,WBby swimwear,WBby swim 1pc,M&B,0.0,0.0,0.0,0.0,0.0,38.0,28.0,1.3571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.586535588059657,0.0,
W Baby Apparel,WBby sweater,WBby swtr cardigan,Other,0.0,0.0,0.0,0.0,0.0,15.0,28.0,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.699802267199422,0.0,
W Baby Sleepwear,WBS footless sleeper,WBS footless stripe,M&B,0.0,10.0,0.37037037037037035,5.185185185185185,0.0,5.0,28.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.409901505229733,0.0,
W Baby Apparel,WBby swimwear,WBby swim rash guard,M+B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248712878646139,0.0,
Baby Accessories,BA tight,BA tight footed,Accessories,0.0,22.0,0.8148148148148148,11.407407407407407,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Baby Accessories,BA non clothing,BA nc blankets,Accessories,261.0,283.0,10.481481481481481,146.74074074074073,1.7786471479050985,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adult Apparel,O womens apparel,O womens apparel dress,Dress,147.0,293.0,10.851851851851851,151.92592592592592,0.9675767918088737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adult Sleep,S W sleepwear,S W Tank John,Sleep,329.0,313.0,11.592592592592593,162.2962962962963,2.027156549520767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Baby Accessories,BA non clothing,BA nc misc,Accessories,25.0,66.0,2.4444444444444446,34.22222222222223,0.7305194805194803,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adult Sleep,S W sleepwear,S W misc,Sleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497425757292278,0.0,
Baby Accessories,BA hats,BA misc hat,Accessories,390.0,333.0,12.333333333333334,172.66666666666669,2.2586872586872584,0.0,0.0,0.0,0.0,133.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Baby Accessories,BA hats,BA swim hat,Accessories,7.0,447.0,16.555555555555557,231.7777777777778,0.030201342281879193,0.0,0.0,0.0,0.0,63.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Baby Sleepwear,BS footless sleeper,BS footless solid,Sleep,1403.0,1411.0,52.25925925925926,731.6296296296297,1.917636934291789,0.0,0.0,0.0,0.0,112.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Baby Apparel,Bby short,Bby w short,Short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Baby,C Bby sweater,Collab Baby,0.0,0.0,0.0,0.0,0.0,19.0,28.0,0.6785714285714286,0.0,42.0,6.0,0.6,0.6,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.456237873968727,0.0,
Collab Accessories,CA misc,CA misc sock/tight,Collab Access,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Baby-Toddler,C BT jkt-vest,Collab Baby,179.0,227.0,8.407407407407407,117.7037037037037,1.5207677784770297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adult Apparel,O unisex apparel,O unisex apparel swim,Swim,12.0,125.0,4.62962962962963,64.81481481481481,0.18514285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby dress,WBby SL dress,Other,0.0,0.0,0.0,0.0,0.0,18.0,28.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.601981044305987,0.0,
Girls,G outerwear,G vest,Jacket,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.03571428571428571,0.0,112.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243564393230695,0.0,
Collab Sleepwear,CS W sleep,CS W nightgown,Sleep,72.0,26.0,0.9629629629629629,13.481481481481481,5.340659340659341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Girls,G 1pc,G SS 1pc,1pc,65.0,44.0,1.6296296296296295,22.814814814814813,2.8490259740259742,0.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Girls,G skirt,G w skirt,Skirt,2.0,0.0,0.0,0.0,0.0,4.0,28.0,0.14285714285714285,0.0,112.0,16.0,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.948515145845562,0.0,
Collab Apparel,C Boy,C B pant,Collab Boy,18.0,18.0,0.6666666666666666,9.333333333333332,1.9285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Kids Unisex,C KU sweater,Collab Kids Uni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Girl,C G jkt-vest,Collab Girl,186.0,129.0,4.777777777777778,66.88888888888889,2.780730897009967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Girls,G 1pc,G LS 1pc,1pc,15.0,15.0,0.5555555555555556,7.777777777777779,1.9285714285714284,0.0,0.0,0.0,0.0,77.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
W Girls,WG dress,WG SS dress,M&B,0.0,0.0,0.0,0.0,0.0,10.0,28.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.876436350029348,0.0,
W Baby Apparel,WBby bodysuit,WBby LS bodysuit,M&B,0.0,34.0,1.2592592592592593,17.62962962962963,0.0,3.0,28.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.740990150522973,0.0,
W Baby Apparel,WBby dress,WBby LS dress,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Boys,B top,B SL top,Top,22.0,22.0,0.8148148148148148,11.407407407407407,1.9285714285714288,0.0,0.0,0.0,0.0,77.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Collab Accessories,CA misc,CA misc hat/glove,Collab Access,32.0,8.0,0.2962962962962963,4.148148148148148,7.714285714285714,0.0,0.0,0.0,0.0,28.0,4.0,0.59,0.59,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Baby,C Bby jkt/vest,Collab Baby,110.0,203.0,7.518518518518518,105.25925925925925,1.0450387051372274,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Baby/Toddler,C BT set,Collab Baby,131.0,84.0,3.111111111111111,43.55555555555556,3.00765306122449,0.0,0.0,0.0,0.0,79.0,11.0,0.7000000000000001,0.5840826873385013,1357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4819803010459465,0.0,
Collab Apparel,C Baby/Toddler,C BT jkt/vest,Collab Baby,89.0,88.0,3.259259259259259,45.629629629629626,1.950487012987013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Baby Apparel,Bby outerwear,Bby vest,Jacket,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
W Kids Unisex Sleep,WS KU SJ,WS KU SJ print,M&B,0.0,24.0,0.8888888888888888,12.444444444444443,0.0,0.0,0.0,0.0,0.0,63.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2332674223998072,0.0,
W Kids Unisex Slee,WS KU non cotton,WS KU non cttn PJ,Other,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
W Kids Unisex Sleep,WS KU LJ,WS KU LJ print,M&B,33.0,27.0,1.0,14.0,2.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
W Kids Unisex Sleep,WS KU LJ,WS KU LJ stripe,M&B,0.0,12.0,0.4444444444444444,6.222222222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
W Kids Unisex Sleep,WS KU non cotton,WS KU non cttn PJ,Other,34.0,0.0,0.0,0.0,0.0,2.0,28.0,0.07142857142857142,0.0,168.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36871362190618,0.0,
W Kids Unisex Sleep,WS KU SJ,WS KU SJ stripe,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497425757292278,0.0,
W Kids Unisex Sleep,WS KU non cotton,WS KU non cttn nightgown,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1972280244917,0.0,
W Baby Apparel,WBby 1pc,WBby SS 1pc,M&B,0.0,0.0,0.0,0.0,0.0,10.0,28.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4613863593841705,0.0,
Kids Accessories,KA shoes,KA B shoe,Accessories,0.0,5.0,0.18518518518518517,2.5925925925925926,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kids Unders,U B underwear,U B unders top,Underwear,89.0,55.0,2.037037037037037,28.51851851851852,3.120779220779221,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kids Unisex Sleep,S KU LJ,S KU LJ misc,Sleep,391.0,88.0,3.259259259259259,45.629629629629626,8.568993506493507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kids Unisex Sleep,S KU non cotton,S KU non cttn 1pc,Sleep,0.0,9.0,0.3333333333333333,4.666666666666666,0.0,0.0,0.0,0.0,0.0,105.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kids Unders,U G underwear,U G unders top,Underwear,1019.0,1577.0,58.407407407407405,817.7037037037037,1.2461726605670804,0.0,0.0,0.0,0.0,77.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kids Accessories,KA shoes,KA G shoe,Accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kids Accessories,KA costume accessories,KA costume accessories misc,Accessories,0.0,0.0,0.0,0.0,0.0,19.0,28.0,0.6785714285714286,0.0,98.0,8.0,0.7000000000000001,0.2384615384615385,805.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,16.663762869291315,-1.0,0.0
Collab Apparel,C Baby,C Bby dress,Collab Baby,0.0,0.0,0.0,0.0,0.0,38.0,28.0,1.3571428571428572,0.0,42.0,6.0,0.6,0.6,488.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,14.176634082829924,-1.0,0.0
Collab Apparel,C Kids Unisex,C KU pant,Collab Kids Uni,0.0,0.0,0.0,0.0,0.0,23.0,28.0,0.8214285714285714,0.0,112.0,16.0,0.5002500000000001,0.5002500000000001,25.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,14.425346961476063,-2.0,0.0
Collab Apparel,C Baby-Toddler,C BT top,Collab Baby,3.0,33.0,1.2222222222222223,17.111111111111114,0.1753246753246753,527.0,28.0,18.821428571428573,46.19805194805194,326.0,38.0,0.7000000000000001,0.436319018404908,614.0,38.0,38.0,38.0,38.0,49.0,49.0,49.0,49.0,266.86891878730717,-2.8019480519480595,0.9428173866949375
Collab Sleepwear,CS Baby sleep,CS Bby footed,Sleep,0.0,0.0,0.0,0.0,0.0,71.0,28.0,2.5357142857142856,0.0,42.0,6.0,0.5,0.5,76.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,36.80950603962858,-3.0,0.0
Kids Unisex,KU outerwear,KU vest,Jacket,0.0,0.0,0.0,0.0,0.0,61.0,28.0,2.1785714285714284,0.0,168.0,24.0,0.6000000000000001,0.6000000000000002,1107.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,34.32237725316718,-3.0,0.0
Collab Apparel,C Girl,C G set,Collab Girl,0.0,4.0,0.14814814814814814,2.074074074074074,0.0,158.0,28.0,5.642857142857143,0.0,140.0,14.0,0.62,0.5995652173913043,4443.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,86.55208176885638,-8.0,0.0
