Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,CurrentBaselineUnits,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,DirectPickLiftProjection,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,GapVsHybrid10Cap085,ProjectionToHybridRatio
Boys,B sets,B SS set,Set,1627.0,669.0,24.77777777777778,346.8888888888889,4.6902626521460595,928.0,28.0,33.142857142857146,2176.281870595772,595.0,77.0,0.62,0.4169278283360475,1121.0,230.0,230.0,230.0,230.0,253.0,253.0,253.0,253.0,538.7120951475372,1923.281870595772,8.601904626860758
Girls,G pant,G w pant,Pant,1234.0,1055.0,39.074074074074076,547.0370370370371,2.255788761002031,1858.0,28.0,66.35714285714286,2095.627758970887,1988.0,234.0,0.7000000000000001,0.44297076720381073,1430.0,361.0,361.0,361.0,361.0,417.0,417.0,417.0,417.0,1274.4047901828164,1678.627758970887,5.025486232544093
Baby Apparel,Bby 1pc,Bby SS 1pc,1pc,4223.0,2885.0,106.85185185185185,1495.9259259259259,2.8230007427581087,1582.0,28.0,56.5,2232.993587521664,875.0,125.0,0.6000000000000001,0.5306973995271869,429.0,516.0,516.0,516.0,516.0,568.0,568.0,568.0,568.0,1781.0329239850016,1664.9935875216638,3.9313267385944783
Boys,B pant,B w pant,Pant,2444.0,1785.0,66.11111111111111,925.5555555555557,2.6405762304921967,1641.0,28.0,58.607142857142854,2166.5927971188476,2961.0,343.0,0.7000000000000001,0.4310204081632653,3060.0,501.0,501.0,501.0,501.0,557.0,557.0,557.0,557.0,1248.787363682264,1609.5927971188476,3.889753675258254
Girls,G short,G w short,Short,1589.0,2157.0,79.88888888888889,1118.4444444444443,1.4207232267037553,3834.0,28.0,136.92857142857142,2723.5264255910984,288.0,40.0,0.5700000000000001,0.5700000000000001,1563.0,1141.0,1141.0,1141.0,1141.0,1170.0,1170.0,1170.0,1170.0,1958.3652064596986,1553.5264255910984,2.3278003637530755
Girls,G top,G LS top,Top,2164.0,1976.0,73.18518518518519,1024.5925925925926,2.112058993637941,1830.0,28.0,65.35714285714286,1932.533979178716,3745.0,527.0,0.7000000000000001,0.5690616697994988,1044.0,449.0,449.0,449.0,449.0,499.0,499.0,499.0,499.0,1040.6146842554456,1433.533979178716,3.872813585528489
Kids Unisex,KU pant,KU w pant,Pant,1204.0,1602.0,59.333333333333336,830.6666666666667,1.4494382022471908,2634.0,28.0,94.07142857142857,1908.9101123595503,1414.0,151.0,0.572463768115942,0.44016358292772195,3393.0,458.0,458.0,458.0,458.0,526.0,526.0,526.0,526.0,1749.1976755182957,1382.9101123595503,3.629106677489639
Baby Apparel,Bby dress,Bby SS dress,Dress,2598.0,1969.0,72.92592592592592,1020.9629629629629,2.544656460857578,1325.0,28.0,47.32142857142857,1685.8349053181455,1148.0,157.0,0.7000000000000001,0.5510255239337677,1056.0,269.0,269.0,269.0,269.0,303.0,303.0,303.0,303.0,756.3358639629088,1382.8349053181455,5.56381156870675
Baby Apparel,Bby swimwear,Bby swim 1pc,Swim,1704.0,1565.0,57.96296296296296,811.4814814814815,2.0998630762209034,1839.0,28.0,65.67857142857143,1930.8240985851207,931.0,133.0,0.6000000000000001,0.5309727272727273,565.0,545.0,545.0,545.0,545.0,579.0,579.0,579.0,579.0,1046.3350804643069,1351.8240985851207,3.3347566469518495
Collab Apparel,C Kids Unisex,C KU top,Collab Kids Uni,1544.0,1506.0,55.77777777777778,780.8888888888889,1.977233921457029,2508.0,28.0,89.57142857142857,2479.451337507114,1506.0,175.0,0.59,0.3590541011180846,660.0,1269.0,1269.0,1269.0,1269.0,1299.0,1299.0,1299.0,1299.0,980.1774547444339,1180.4513375071142,1.908738520020873
W Baby Accessories,WBA hats,WBA pilot/knot hat,Other,8.0,2.0,0.07407407407407407,1.037037037037037,7.714285714285714,298.0,28.0,10.642857142857142,1149.4285714285716,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,148.23287567309887,1140.4285714285716,127.71428571428572
Kids Unders,U G underwear,U G unders bottom,Underwear,4335.0,8864.0,328.2962962962963,4596.148148148148,0.9431810856111398,13223.0,28.0,472.25,6235.84174751805,1610.0,125.0,0.51,0.38583089811026694,6976.0,5081.0,5081.0,5081.0,5081.0,5133.0,5133.0,5133.0,5133.0,6094.709091223637,1102.8417475180504,1.2148532529744887
Girls,G swimwear,G swim cover up,Swim,1335.0,2536.0,93.92592592592592,1314.962962962963,1.0152377196935556,4546.0,28.0,162.35714285714286,2307.635336863452,624.0,72.0,0.55,0.4358823529411765,2275.0,1298.0,1298.0,1298.0,1298.0,1338.0,1338.0,1338.0,1338.0,2424.7018539212095,969.6353368634518,1.7246900873418922
Kids Accessories,KA sock,KA sock misc,Accessories,1342.0,1866.0,69.11111111111111,967.5555555555557,1.387000459347726,2551.0,28.0,91.10714285714286,1769.1190858980247,1029.0,117.0,0.6000000000000001,0.35267056530214425,1378.0,779.0,779.0,779.0,779.0,828.0,828.0,828.0,828.0,1436.814299938745,941.1190858980247,2.1366172535000296
Kids Unisex,KU outerwear,KU jkt,Jacket,728.0,783.0,29.0,406.0,1.793103448275862,1076.0,28.0,38.42857142857143,964.6896551724138,1407.0,153.0,0.6001333333333334,0.434534444382156,1850.0,79.0,79.0,79.0,79.0,118.0,118.0,118.0,118.0,690.4269511216819,846.6896551724138,8.175336060783168
Baby Apparel,Bby sets,Bby LS set,Set,1517.0,1543.0,57.148148148148145,800.074074074074,1.8960744375520786,1973.0,28.0,70.46428571428571,1870.4774326451254,3913.0,527.0,0.7000000000000001,0.5043148314084104,5674.0,980.0,980.0,980.0,980.0,1034.0,1034.0,1034.0,1034.0,1055.0400312169218,836.4774326451254,1.80897237199722
