INVENTLOCATIONID,WMSLOCATIONID,AISLEID,LOCPROFILEID,ZONEID
4010,CubeIN,--,CUBISCAN,CUBISCAN
4010,CubeOUT,--,CUBISCAN,CUBISCAN
