SKU,Velocity_Old,Velocity_New,SlotTier_Old,SlotTier_New,ProductGroupCode_Old,ProductGroupCode_New,SizeGroupCode_Old,SizeGroupCode_New,FD14_Old,FD14_New,FD14Delta,RankDelta,PutawayIndicator_Old,PutawayIndicator_New
81318-1CP-90,C,B,KUSXC,KUSXB,KUS,KUS,X,X,7,36,29,1,0,0
82955-48A-150,B,A,KNILB,KNILA,KNI,KNI,L,L,19,46,27,1,0,0
82788-6DB-110,A,AA,BOYSA,BOYSAA,BOY,BOY,S,S,4,30,26,1,0,0
84339-5VT-85,B,A,COLXB,COLXA,COL,COL,X,X,0,26,26,1,0,0
84082-5UD-100,A,AA,KUSSA,KUSSAA,KUS,KUS,S,S,14,38,24,1,0,0
81941-3LP-110,B,A,KNISB,KNISA,KNI,KNI,S,S,0,22,22,1,0,0
81941-3LP-120,B,A,KNIMB,KNIMA,KNI,KNI,M,M,0,22,22,1,0,0
81941-3LP-130,B,A,KNIMB,KNIMA,KNI,KNI,M,M,0,22,22,1,0,0
81941-3LP-140,B,A,KNILB,KNILA,KNI,KNI,L,L,0,22,22,1,0,0
81941-3LP-150,C,B,KNILC,KNILB,KNI,KNI,L,L,0,22,22,1,0,0
81941-3LP-90,C,B,KNIXC,KNIXB,KNI,KNI,X,X,0,22,22,1,0,0
81941-SR4-90,B,A,KNIXB,KNIXA,KNI,KNI,X,X,0,22,22,1,0,0
82721-65Z-150,B,A,GIRLB,GIRLA,GIR,GIR,L,L,0,22,22,1,0,0
82723-5YO-130,A,AA,GIRMA,GIRMAA,GIR,GIR,M,M,0,22,22,1,0,0
81318-2ND-100,C,B,KUSSC,KUSSB,KUS,KUS,S,S,17,38,21,1,0,0
81941-SR4-120,A,AA,KNIMA,KNIMAA,KNI,KNI,M,M,14,34,20,1,0,0
81941-SR4-130,A,AA,KNIMA,KNIMAA,KNI,KNI,M,M,14,34,20,1,0,0
84082-5UC-150,B,A,KUSLB,KUSLA,KUS,KUS,L,L,4,22,18,1,0,0
52309-001-S,A,AA,KUNSA,KUNSAA,KUN,KUN,S,S,19,36,17,1,0,0
81569-SR4-120,A,AA,KNIMA,KNIMAA,KNI,KNI,M,M,14,31,17,1,0,0
81941-SR4-150,B,A,KNILB,KNILA,KNI,KNI,L,L,10,27,17,1,0,0
66994-XU1-XL,C,B,ASLLC,ASLLB,ASL,ASL,L,L,14,0,-14,1,0,0
81316-1DE-90,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,12,26,14,1,0,0
84090-5KP-100,A,AA,KUSSA,KUSSAA,KUS,KUS,S,S,17,31,14,1,0,0
67501-011-90,A,AA,BOYXA,BOYXAA,BOY,BOY,X,X,44,31,-13,1,0,0
81941-3KH-140,B,A,KNILB,KNILA,KNI,KNI,L,L,0,13,13,1,0,0
81941-3KH-150,C,B,KNILC,KNILB,KNI,KNI,L,L,0,13,13,1,0,0
81941-3KH-90,B,A,KNIXB,KNIXA,KNI,KNI,X,X,0,13,13,1,0,0
82603-6HB-130,A,AA,KNIMA,KNIMAA,KNI,KNI,M,M,0,13,13,1,0,0
82718-5XV-85,C,B,GIRXC,GIRXB,GIR,GIR,X,X,0,13,13,1,0,0
82896-5H5-130,B,A,BOYMB,BOYMA,BOY,BOY,M,M,0,13,13,1,0,0
84082-5KQ-90,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,14,27,13,1,0,0
81338-5UC-85,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,10,22,12,1,0,0
81569-SR4-100,A,AA,KNISA,KNISAA,KNI,KNI,S,S,10,22,12,1,0,0
81569-SR4-110,A,AA,KNISA,KNISAA,KNI,KNI,S,S,10,22,12,1,0,0
81569-SR4-90,B,A,KNIXB,KNIXA,KNI,KNI,X,X,10,22,12,1,0,0
82718-5XW-150,B,A,GIRLB,GIRLA,GIR,GIR,L,L,10,22,12,1,0,0
83376-3LB-120,B,A,KNIMB,KNIMA,KNI,KNI,M,M,17,6,-11,1,0,0
