ModelKey,ForecastName,Windows,TotalActualUnits,TotalForecastUnits,MeanBiasPct,MeanAbsBiasPct,MeanWAPE,MedianWAPE,BestWindowCount,WindowWins
hgb_absolute_log,hgb_absolute_logForecastQty,6,2577385.0,2272495.5048745456,-0.12156153784969335,0.12156153784969335,0.4821091295711475,0.46463246890347537,6,6
hgb_absolute_log,hgb_absolute_logCalibratedForecastQty,6,2577385.0,2637722.9092064146,0.018943585793666007,0.03344012999898577,0.5099507323991993,0.49692746329247006,6,0
baseline,Recent7BaselineQty,6,2577385.0,2610886.9976190473,0.0907170506103455,0.13985044521736587,0.782035847203475,0.7415309967986299,6,0
baseline,Recent28BaselineQty,6,2577385.0,2659220.4053523103,0.17777187637395964,0.28714669507135276,0.9235902945983218,0.8887048385064974,6,0
baseline,HybridBaselineQty,6,2577385.0,3084573.419441372,0.31274893729063863,0.31274893729063863,0.9911196931970941,0.9580751928646609,6,0
baseline,CorporateBaselineQty,6,2577385.0,2748496.0,0.1357436635186038,0.15956815164449822,1.5866243685110148,1.6891956762592177,6,0
