table,status,estimated_rows,rows_written,parts,parquet_mb,elapsed_seconds,output_path,error
dbo.Channel_Offer_SKU_Forecast,ok,11538283,11538283,47,417.27,174.44,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Channel_Offer_SKU_Forecast,
dbo.Channel_Offer_Forecast,ok,1568932,1568932,7,31.47,21.57,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Channel_Offer_Forecast,
dbo.Offer_SKU_Inventory_Forecast,ok,4186131,4186131,17,98.3,47.83,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Offer_SKU_Inventory_Forecast,
dbo.Offer_Inventory_Forecast,ok,5163971,5163971,21,88.73,54.96,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Offer_Inventory_Forecast,
dbo.Channel_Offer_Demand_History,ok,798916,798916,4,17.88,44.18,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Channel_Offer_Demand_History,
dbo.Channel_SKU_SIZE_Weekly_Demand_History,ok,1367399,1367399,6,2.87,19.91,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Channel_SKU_SIZE_Weekly_Demand_History,
dbo.Product_Dimensions_Hierarchy_Attributes,ok,477206,477206,2,4.34,15.15,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Product_Dimensions_Hierarchy_Attributes,
dbo.Offer_Control_Table,ok,41531,41531,1,1.64,2.47,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Offer_Control_Table,
dbo.Offers,ok,93435,93435,1,1.67,1.97,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Offers,
dbo.Current_SKU_Available_DC_Inventory,ok,34388,34388,1,0.29,0.72,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Current_SKU_Available_DC_Inventory,
dbo.Current_Offer_Inventory,ok,7669,7669,1,0.1,0.35,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Current_Offer_Inventory,
dbo.On_Order,ok,23413,23413,1,0.34,0.38,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__On_Order,
dbo.Forecast_Job_Log,ok,221038,221038,1,1.48,1.05,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173252\tables\dbo__Forecast_Job_Log,
