Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgCoverage,WAPE,BiasPct,ZeroForecastSoldUnitPct
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,26,6830492.833847452,7334496.0,5907938.181351108,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8055002254212297,-0.06871680973751271,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05_cap_recent_x0p85,26,6626609.783847452,7334496.0,5925603.214712929,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8079087117523724,-0.09651463660932501,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x1p0,26,7186623.435228779,7334496.0,6023045.984598511,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.821194255828691,-0.020161244176998803,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05_cap_recent_x1p0,26,6959386.898098293,7334496.0,6045003.984157995,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8241880538428265,-0.05114313265720061,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x1p1,26,7334751.551239483,7334496.0,6112499.889439888,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.833390581907726,3.484237219340749e-05,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05_cap_recent_x1p1,26,7096344.851280004,7334496.0,6130501.208028545,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8358449180459768,-0.032470008671351955,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,26,7418332.194816512,7334496.0,6172854.120391174,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8416193996685217,0.01143039614671711,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,26,7426457.327683892,7334496.0,6179952.359341827,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8425871879051849,0.012538193174267475,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05_cap_recent_x1p25,26,7168023.794816513,7334496.0,6184352.887414442,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8431871647914788,-0.02269715672126447,0.025157284154221367
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1_cap_recent_x0p85,26,7371563.82161255,7334496.0,6185879.574091276,184329.0,89739.0,17139.076923076922,0.96644690952646,0.8433953163368384,0.0050539016740277646,0.025131788196489573
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05,26,7171493.577683892,7334496.0,6187457.8093418265,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8436104961188644,-0.022224079516316855,0.025157284154221367
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05_cap_recent_x0p85,26,7218306.756816449,7334496.0,6222042.264216533,184329.0,89739.0,17139.076923076922,0.96644690952646,0.8483258105555628,-0.015841476112816933,0.025131788196489573
