Policy,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,WAPE,BiasPct,ZeroForecastSoldUnitPct,AvgCoverage
rolling_8_prior_wape_default__hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,26,7454911.963196749,7334496.0,6041401.016432761,0.8236968179453313,0.016417755657205196,0.06820973111172192,0.8874116729731854
rolling_4_prior_wape_default__hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,26,7733154.607846613,7334496.0,6075246.790108802,0.8283114190953,0.05435391986669746,0.08766928225197751,0.8665328509503533
fixed__hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,26,7426457.327683892,7334496.0,6179952.359341827,0.8425871879051849,0.012538193174267475,0.025157284154221367,0.9664162350011385
fixed__hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05,26,7171493.577683892,7334496.0,6187457.8093418265,0.8436104961188644,-0.022224079516316855,0.025157284154221367,0.9664162350011385
fixed__hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p15,26,7681421.077683892,7334496.0,6213405.909341826,0.8471483124868875,0.0473004658648518,0.025157284154221367,0.9664162350011385
rolling_12_prior_wape_default__hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,26,7519931.243844412,7334496.0,6299498.157954369,0.8588863035652851,0.025282615716800756,0.058653791617038174,0.9138545753110299
expanding_prior_wape_default__hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_after_4,26,7241132.820600443,7334496.0,6568481.442070412,0.8955600278560943,-0.01272932446886022,0.14872214805216336,0.7756509490754497
fixed__recent_no_ml_no_promo_floor,26,10226851.0,7334496.0,8170651.0,1.1140030616964,0.394349523130151,0.02545532780984542,0.9660072863759226
fixed__corporate,26,7740876.0,7334496.0,8309440.0,1.1329258343040884,0.055406670069763485,0.4630907154356618,0.43861267268140924
