CandidateID,SourceWorkbook,ForecastStartDate,SKU,ForecastDay,ForecastDate,ForecastUnits
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-L,12,2026-06-27,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-L,13,2026-06-28,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-L,14,2026-06-29,1
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,1,2026-06-16,2
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,2,2026-06-17,2
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,3,2026-06-18,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,4,2026-06-19,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,5,2026-06-20,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,6,2026-06-21,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,7,2026-06-22,1
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,8,2026-06-23,1
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,9,2026-06-24,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,10,2026-06-25,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,11,2026-06-26,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,12,2026-06-27,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,13,2026-06-28,0
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-M,14,2026-06-29,1
seasonal_no_ml_baseline_2026-06-15_v2,Product Info for BRG_2026-06-01__seasonal_no_ml_baseline_2026-06-15_v2.xlsx,2026-06-16,30070-011-S,1,2026-06-16,2
