ForecastName,Windows,TotalActualUnits,TotalForecastUnits,MeanWAPE,MeanBiasPct
MiddleOut,2,569111.0,518287.5526652771,0.7766623929451588,-0.02290397152899784
TopDown,2,569111.0,518928.01651145774,0.7955831514324596,-0.021826934205291443
BottomUp,2,569111.0,494140.06976746453,0.8301596595526504,-0.03378920391844878
HorizonConsistentMLForecastQty,2,569111.0,494140.06976746453,0.8301596595526504,-0.03378920391844878
CorporateForecastQty,2,569111.0,686286.0,1.7077005139950634,0.14227703646918194
CorporateBaselineQty,2,569111.0,686286.0,1.7077005139950634,0.14227703646918194
