WindowLabel,ForecastName,ActualUnits,ForecastUnits,BiasPct,WAPE
y2026_fd_a,BottomUp,337982.0,150249.57686764188,-0.5554509504422074,0.7779488490085569
y2026_fd_a,TopDown,337982.0,211164.62841621964,-0.37521930630560313,0.7735240682707982
y2026_fd_a,MiddleOut,337982.0,210713.59333980147,-0.376553800676363,0.7430414916869003
y2026_fd_a,HorizonConsistentMLForecastQty,337982.0,150249.57686764188,-0.5554509504422074,0.7779488490085569
y2026_fd_a,CorporateForecastQty,337982.0,500583.0,0.48109366771011475,2.13422904178329
y2026_fd_a,CorporateBaselineQty,337982.0,500583.0,0.48109366771011475,2.13422904178329
y2026_fd_b,BottomUp,231129.0,343890.49289982265,0.4878725426053098,0.882370470096744
y2026_fd_b,TopDown,231129.0,307763.38809523813,0.33156543789502024,0.817642234594121
y2026_fd_b,MiddleOut,231129.0,307573.9593254756,0.33074585761836733,0.8102832942034175
y2026_fd_b,HorizonConsistentMLForecastQty,231129.0,343890.49289982265,0.4878725426053098,0.882370470096744
y2026_fd_b,CorporateForecastQty,231129.0,185703.0,-0.19653959477175084,1.281171986206837
y2026_fd_b,CorporateBaselineQty,231129.0,185703.0,-0.19653959477175084,1.281171986206837
