Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,OvergeneratedZeroDemandUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgSoldUnitForecastCoveragePct,WAPE,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,ZeroForecastSoldUnitPct
hybrid_ml_quantile_calibrated_min_20p0_units_recent_w0p1,3,100452.92871868165,939356.0,870587.7240552941,7566.0,9509.939541406296,3715.0,15633.0,0.991757142421343,0.9267921044367567,-838903.0712813183,-0.8930619182517793,0.008054454328284484
hybrid_ml_quantile_calibrated_min_20p0_units_recent_w0p1_cap_recent_x0p85,3,100452.92871868165,939356.0,870587.7240552941,7566.0,9509.939541406296,3715.0,15633.0,0.991757142421343,0.9267921044367567,-838903.0712813183,-0.8930619182517793,0.008054454328284484
hybrid_ml_quantile_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p0,3,100452.92871868165,939356.0,870587.7240552941,7566.0,9509.939541406296,3715.0,15633.0,0.991757142421343,0.9267921044367567,-838903.0712813183,-0.8930619182517793,0.008054454328284484
hybrid_ml_quantile_calibrated_min_10p0_units_recent_w0p1,3,100471.47085462371,939356.0,870606.2661912361,7566.0,9528.481677348354,3715.0,15633.333333333334,0.991757142421343,0.9268118436367427,-838884.5291453763,-0.8930421790517933,0.008054454328284484
hybrid_ml_quantile_calibrated_min_10p0_units_recent_w0p1_cap_recent_x0p85,3,100471.47085462371,939356.0,870606.2661912361,7566.0,9528.481677348354,3715.0,15633.333333333334,0.991757142421343,0.9268118436367427,-838884.5291453763,-0.8930421790517933,0.008054454328284484
hybrid_ml_quantile_calibrated_min_10p0_units_recent_w0p1_cap_recent_x1p0,3,100471.47085462371,939356.0,870606.2661912361,7566.0,9528.481677348354,3715.0,15633.333333333334,0.991757142421343,0.9268118436367427,-838884.5291453763,-0.8930421790517933,0.008054454328284484
hybrid_ml_quantile_calibrated_min_1p0_units_recent_w0p1,3,100471.47085462371,939356.0,870606.2661912361,7566.0,9528.481677348354,3715.0,15633.333333333334,0.991757142421343,0.9268118436367427,-838884.5291453763,-0.8930421790517933,0.008054454328284484
hybrid_ml_quantile_calibrated_min_1p0_units_recent_w0p1_cap_recent_x0p85,3,100471.47085462371,939356.0,870606.2661912361,7566.0,9528.481677348354,3715.0,15633.333333333334,0.991757142421343,0.9268118436367427,-838884.5291453763,-0.8930421790517933,0.008054454328284484
hybrid_ml_quantile_calibrated_min_1p0_units_recent_w0p1_cap_recent_x1p0,3,100471.47085462371,939356.0,870606.2661912361,7566.0,9528.481677348354,3715.0,15633.333333333334,0.991757142421343,0.9268118436367427,-838884.5291453763,-0.8930421790517933,0.008054454328284484
hybrid_ml_quantile_calibrated_min_5p0_units_recent_w0p1,3,100471.47085462371,939356.0,870606.2661912361,7566.0,9528.481677348354,3715.0,15633.333333333334,0.991757142421343,0.9268118436367427,-838884.5291453763,-0.8930421790517933,0.008054454328284484
hybrid_ml_quantile_calibrated_min_5p0_units_recent_w0p1_cap_recent_x0p85,3,100471.47085462371,939356.0,870606.2661912361,7566.0,9528.481677348354,3715.0,15633.333333333334,0.991757142421343,0.9268118436367427,-838884.5291453763,-0.8930421790517933,0.008054454328284484
hybrid_ml_quantile_calibrated_min_5p0_units_recent_w0p1_cap_recent_x1p0,3,100471.47085462371,939356.0,870606.2661912361,7566.0,9528.481677348354,3715.0,15633.333333333334,0.991757142421343,0.9268118436367427,-838884.5291453763,-0.8930421790517933,0.008054454328284484
hybrid_ml_quantile_raw_min_20p0_units_recent_w0p1,3,88253.74143331277,939356.0,872469.7456567182,7566.0,7192.843896965958,3715.0,15628.0,0.991757142421343,0.9287956277031478,-851102.2585666872,-0.9060486743755161,0.008054454328284484
hybrid_ml_quantile_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,3,88253.74143331277,939356.0,872469.7456567182,7566.0,7192.843896965958,3715.0,15628.0,0.991757142421343,0.9287956277031478,-851102.2585666872,-0.9060486743755161,0.008054454328284484
hybrid_ml_quantile_raw_min_20p0_units_recent_w0p1_cap_recent_x1p0,3,88253.74143331277,939356.0,872469.7456567182,7566.0,7192.843896965958,3715.0,15628.0,0.991757142421343,0.9287956277031478,-851102.2585666872,-0.9060486743755161,0.008054454328284484
hybrid_ml_quantile_raw_min_10p0_units_recent_w0p1,3,88564.93250229978,939356.0,872889.2827442547,7566.0,7504.760207980943,3715.0,15633.333333333334,0.991757142421343,0.929242249737325,-850791.0674977002,-0.905717393083879,0.008054454328284484
hybrid_ml_quantile_raw_min_10p0_units_recent_w0p1_cap_recent_x0p85,3,88564.93250229978,939356.0,872889.2827442547,7566.0,7504.760207980943,3715.0,15633.333333333334,0.991757142421343,0.929242249737325,-850791.0674977002,-0.905717393083879,0.008054454328284484
