Candidate,Windows,SoldUnits,ForecastUnits,AbsErrorUnits,OverUnits,CoveredUnderUnits,ZeroForecastSoldUnits,AvgCoverage,WAPE,BiasPct,ExpectedCost,CostPerSoldUnit
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x0p85,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x1p1,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x1p0,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p0,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x1p25,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
self_calibrating_recency_brake,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
ml_cold_start_raw_future_guardrail_min_20p0_units,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p1,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,26,97258.0,44200.41246903855,134891.8972382065,40917.15485362253,1521.7423845839803,92453.0,0.0594221904752579,1.3869491171750035,-0.5455344293627409,600200.3820073744,6.171218635046725
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_cap_recent_x0p85,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_cap_recent_x1p0,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x0p85,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_cap_recent_x1p1,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_cap_recent_x1p25,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p25,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p1,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p0,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
ml_cold_start_raw_future_guardrail_min_10p0_units,26,97258.0,45201.076171719236,135892.5609408872,41917.81855630322,1521.7423845839803,92453.0,0.0594221904752579,1.39723787185514,-0.5352456746826046,601201.0457100552,6.181507389726862
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x0p85,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x0p85,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p0,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p25,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p1,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p25,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
ml_cold_start_raw_future_guardrail_min_5p0_units,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05_cap_recent_x1p0,26,97258.0,45234.06768041605,135925.552449584,41950.81006500003,1521.7423845839803,92453.0,0.0594221904752579,1.3975770882558145,-0.5349064582819301,601234.037218752,6.181846606127537
