Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,Sale2025Share,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,CurrentExpectedBy2025Lift,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,GapVsHybrid10Cap085,LiftExpectedToHybridRatio
Collab Apparel,C Girl,C G pant,Collab Girl,37.0,58.0,2.0714285714285716,29.000000000000004,1.2758620689655171,7.803108589746293e-05,19.0,15.368421052631579,274.51179673321235,234.0,234.0,234.0,234.0,237.0,237.0,237.0,237.0,121.62059765796198,168.0,16.0,0.2,0.2,631.0,37.51179673321235,1.1582776233468874
Collab Sleepwear,CS Kids Unisex sleep,CS KU 1pc,Sleep,19.0,6.0,0.21428571428571427,3.0,6.333333333333333,4.0070017082480966e-05,19.0,0.21052631578947367,18.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.228118936984363,35.0,5.0,0.2,0.2,37.0,18.666666666666664,
Collab Apparel,C Baby-Toddler,C BT top,Collab Baby,3.0,31.0,1.1071428571428572,15.5,0.1935483870967742,6.326844802496995e-06,19.0,19.789473684210527,53.623089983022076,38.0,38.0,38.0,38.0,49.0,49.0,49.0,49.0,266.86891878730717,326.0,38.0,0.7000000000000001,0.436319018404908,614.0,4.623089983022076,1.0943487751637158
Collab Sleepwear,CS Kids Unisex sleep,CS KU nightgown,Sleep,244.0,230.0,8.214285714285714,114.99999999999999,2.121739130434783,0.0005145833772697556,19.0,1.105263157894737,32.83112128146453,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,13.927921204183786,252.0,36.0,0.7000000000000001,0.7000000000000001,37.0,3.831121281464533,1.1321076303953288
W Baby Sleepwear,WBS footless sleeper,WBS footless stripe,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.409901505229733,0.0,0.0,0.0,0.0,0.0,0.0,
W Girls,WG dress,WG SS dress,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.876436350029348,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby swimwear,WBby swim rash guard,M+B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248712878646139,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby top,WBby LS top,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.740990150522973,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Sleepwear,WBS footless sleeper,WBS footless print,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.34099386682318,133.0,19.0,0.0,0.0,0.0,0.0,
W Baby Sleepwear,WBS footless sleeper,WBS footless print,M+B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243564393230695,42.0,6.0,0.0,0.0,0.0,0.0,
