Date,SKU,SoldUnits,CorporateBaselineQty,Recent28BaselineQty,Recent7BaselineQty,HybridBaselineQty,HasAnyPromotion,Division,Department,Class,KeyCategoryView,HybridAbsError
2026-05-24,50754-4SS-M,6.0,58.0,4.75,3.7142857142857144,18.0625,True,Kids Unders,U G underwear,U G unders bottom,Underwear,12.0625
2026-06-07,58660-4PQ-M,4.0,31.0,11.071428571428571,3.5714285714285716,16.05357142857143,True,Kids Unders,U G underwear,U G unders bottom,Underwear,12.05357142857143
2026-05-14,83154-4QH-140,1.0,42.0,3.392857142857143,2.0,13.044642857142858,True,Kids Unisex Sleep,S KU non cotton,S KU non cttn PJ,Sleep,12.044642857142858
2026-05-24,81700-5ZA-120,25.0,0.0,11.714285714285714,17.285714285714285,12.964285714285714,True,Girls,G short,G k short,Short,12.035714285714286
2026-05-18,84090-5KM-110,19.0,0.0,9.285714285714286,6.142857142857143,6.964285714285715,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,12.035714285714285
2026-05-21,67009-133-120,16.0,0.0,4.571428571428571,5.285714285714286,3.9642857142857144,True,Boys,B top,B SS top,Top,12.035714285714285
2026-05-17,84605-SR4-120,16.0,0.0,5.285714285714286,3.857142857142857,3.9642857142857144,True,Boys,B short,B w short,Short,12.035714285714285
2026-05-22,84548-6FN-60,16.0,0.0,2.9285714285714284,5.285714285714286,3.9642857142857144,True,Baby Apparel,Bby bodysuit,Bby SS bodysuit,1pc,12.035714285714285
2026-05-24,81346-015-120,7.0,53.0,4.178571428571429,7.714285714285714,19.035714285714285,True,Kids Unisex,KU short,KU k short,Short,12.035714285714285
2026-05-23,84460-5ZO-100,34.0,0.0,18.178571428571427,29.285714285714285,21.964285714285715,True,Girls,G dress,G SL dress,Dress,12.035714285714285
2026-05-25,58662-4SM-L,6.0,52.0,3.75,6.714285714285714,18.035714285714285,True,Kids Unders,U B underwear,U B unders bottom,Underwear,12.035714285714285
2026-05-22,81346-5HP-90,17.0,0.0,6.642857142857143,5.857142857142857,4.982142857142858,True,Kids Unisex,KU short,KU k short,Short,12.017857142857142
2026-06-06,84460-5ZO-100,7.0,9.0,22.357142857142858,12.571428571428571,19.017857142857142,True,Girls,G dress,G SL dress,Dress,12.017857142857142
2026-05-26,58663-4SX-S,19.0,0.0,9.321428571428571,7.285714285714286,6.991071428571429,True,Kids Unders,U B underwear,U B unders bottom,Underwear,12.008928571428571
2026-05-18,84172-5NR-75,13.0,0.0,1.3214285714285714,1.2857142857142858,0.9910714285714286,True,Baby Sleepwear,BS footless sleeper,BS footless print,Sleep,12.008928571428571
2026-05-20,81623-48A-120,3.0,43.0,5.678571428571429,3.7142857142857144,15.008928571428571,True,Kids Unisex,KU top,KU SS top,Top,12.008928571428571
2026-05-26,80441-6WL-140,18.0,0.0,7.178571428571429,8.0,6.0,True,Kids Unisex,KU pant,KU k pant,Pant,12.0
2026-05-22,84558-6FJ-80,18.0,0.0,8.0,6.714285714285714,6.0,True,Baby Apparel,Bby top,Bby SS top,Top,12.0
2026-05-24,82897-1SA-90,1.0,43.0,2.607142857142857,3.0,13.0,True,Girls,G swimwear,G swim 1pc,Swim,12.0
2026-05-22,60363-4DP-120,15.0,0.0,2.642857142857143,4.0,3.0,True,Girls,G dress,G SS dress,Dress,12.0
2026-05-22,84082-6GS-90,15.0,0.0,3.6785714285714284,4.0,3.0,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,12.0
2026-05-17,84646-6EA-70,15.0,0.0,3.0714285714285716,4.0,3.0,True,Baby Apparel,Bby sets,Bby SS set,Set,12.0
2026-05-26,84082-5LD-110,18.0,0.0,6.857142857142857,8.0,6.0,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,12.0
2026-05-16,82912-2RO-110,31.0,43.0,9.142857142857142,11.0,19.0,True,Girls,G dress,G SL dress,Dress,12.0
2026-05-26,84450-6DU-120,24.0,0.0,6.678571428571429,16.0,12.0,True,Girls,G dress,G SL dress,Dress,12.0
2026-05-22,84606-6AK-120,18.0,0.0,4.357142857142857,8.0,6.0,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,12.0
2026-05-31,58662-4O4-S,13.0,46.0,14.821428571428571,18.0,25.0,True,Kids Unders,U B underwear,U B unders bottom,Underwear,12.0
2026-05-17,84460-61J-120,23.0,0.0,14.678571428571429,10.0,11.008928571428571,True,Girls,G dress,G SL dress,Dress,11.991071428571429
2026-05-16,67377-SR4-100,1.0,38.0,4.642857142857143,2.4285714285714284,12.982142857142858,True,Girls,G pant,G k pant,Pant,11.982142857142858
2026-05-17,84428-6AQ-120,19.0,0.0,9.357142857142858,5.428571428571429,7.017857142857143,True,Kids Unisex Sleep,S KU SJ,S KU SJ print,Sleep,11.982142857142858
