Division,Department,Class,ForecastName,Rows,ActualUnits,ForecastUnits,BiasUnits,BiasPct,WAPE,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct
Boys,B outerwear,B jkt,CorporateBaselineQty,312,157.0,420.0,263.0,1.6751592356687899,2.605095541401274,63.0,0.4012738853503185
Collab Sleepwear,CS Kids Unisex sleep,CS KU set,CorporateBaselineQty,774,155.0,1286.0,1131.0,7.296774193548387,7.645161290322581,15.0,0.0967741935483871
,,,CorporateBaselineQty,135,148.0,0.0,-148.0,-1.0,1.0,148.0,1.0
Collab Apparel,C Boy,C B top,CorporateBaselineQty,54,143.0,0.0,-143.0,-1.0,1.0,143.0,1.0
Collab Apparel,C Boy,C B set,CorporateBaselineQty,133,135.0,0.0,-135.0,-1.0,1.0,135.0,1.0
Baby Accessories,BA moc-slipper,BA moc-slipper-misc,CorporateBaselineQty,225,133.0,531.0,398.0,2.992481203007519,4.2556390977443606,79.0,0.5939849624060151
Collab Sleepwear,CS AU sleep,CS AU top,CorporateBaselineQty,2229,128.0,5758.0,5630.0,43.984375,44.671875,41.0,0.3203125
Boys,B sweater,B swtr cardigan,CorporateBaselineQty,238,124.0,796.0,672.0,5.419354838709677,6.225806451612903,46.0,0.3709677419354839
Other,S Pet Johns,S pet johns print,CorporateBaselineQty,911,114.0,2893.0,2779.0,24.37719298245614,25.42982456140351,56.0,0.49122807017543857
Collab Apparel,C Baby,C Bby jkt-vest,CorporateBaselineQty,248,112.0,486.0,374.0,3.3392857142857144,3.8035714285714284,8.0,0.07142857142857142
W Baby Apparel,WBby swimwear,WBby swim 1pc,CorporateBaselineQty,45,112.0,0.0,-112.0,-1.0,1.0,112.0,1.0
Collab Apparel,C Girl,C G short,CorporateBaselineQty,81,109.0,0.0,-109.0,-1.0,1.0,109.0,1.0
Collab Apparel,C Baby-Toddler,C BT pant,CorporateBaselineQty,79,102.0,0.0,-102.0,-1.0,1.0,102.0,1.0
Collab Sleepwear,CS AU sleep,CS AU misc,CorporateBaselineQty,400,97.0,1039.0,942.0,9.711340206185566,10.0,11.0,0.1134020618556701
Kids Unisex,KU sweater,KU swtr pullover,CorporateBaselineQty,208,95.0,253.0,158.0,1.6631578947368422,2.610526315789474,37.0,0.3894736842105263
W Baby Apparel,WBby dress,WBby SL dress,CorporateBaselineQty,72,92.0,0.0,-92.0,-1.0,1.0,92.0,1.0
Collab Apparel,C Boy,C B sweater,CorporateBaselineQty,106,91.0,0.0,-91.0,-1.0,1.0,91.0,1.0
Adult Apparel,O womens apparel,O womens apparel top,CorporateBaselineQty,84,90.0,0.0,-90.0,-1.0,1.0,90.0,1.0
W Baby Apparel,WBby swimwear,WBby swim 2pc,CorporateBaselineQty,37,85.0,0.0,-85.0,-1.0,1.0,85.0,1.0
W Girls,WG dress,WG SS dress,CorporateBaselineQty,52,78.0,0.0,-78.0,-1.0,1.0,78.0,1.0
Collab Accessories,CA misc,CA misc hat-glove,CorporateBaselineQty,107,77.0,196.0,119.0,1.5454545454545454,3.4675324675324677,74.0,0.961038961038961
Collab Sleepwear,CS Baby sleep,CS Bby footed,CorporateBaselineQty,68,73.0,0.0,-73.0,-1.0,1.0,73.0,1.0
Boys,B outerwear,B ow,CorporateBaselineQty,166,63.0,296.0,233.0,3.6984126984126986,4.111111111111111,3.0,0.047619047619047616
Adult Sleep,S W sleepwear,S W nightgown,CorporateBaselineQty,496,59.0,1481.0,1422.0,24.10169491525424,24.915254237288135,22.0,0.3728813559322034
Collab Sleepwear,CS W sleep,CS W bottom,CorporateBaselineQty,295,56.0,1031.0,975.0,17.410714285714285,18.232142857142858,21.0,0.375
Kids Unisex,KU outerwear,KU vest,CorporateBaselineQty,129,52.0,213.0,161.0,3.0961538461538463,3.8653846153846154,17.0,0.3269230769230769
Baby Apparel,Bby outerwear,Bby OW,CorporateBaselineQty,162,49.0,307.0,258.0,5.26530612244898,5.918367346938775,11.0,0.22448979591836735
W Baby Apparel,WBby sets,WBby SS set,CorporateBaselineQty,26,47.0,0.0,-47.0,-1.0,1.0,47.0,1.0
W Baby Apparel,WBby dress,WBby SS dress,CorporateBaselineQty,33,46.0,0.0,-46.0,-1.0,1.0,46.0,1.0
W Kids Unisex Sleep,WS KU non cotton,WS KU non cttn PJ,CorporateBaselineQty,44,44.0,0.0,-44.0,-1.0,1.0,44.0,1.0
W Baby Apparel,WBby sweater,WBby swtr cardigan,CorporateBaselineQty,25,39.0,0.0,-39.0,-1.0,1.0,39.0,1.0
Kids Accessories,KA tight,KA tight footed,CorporateBaselineQty,84,37.0,350.0,313.0,8.45945945945946,8.513513513513514,0.0,0.0
Collab Sleepwear,CS W sleep,CS W top,CorporateBaselineQty,409,35.0,1029.0,994.0,28.4,29.085714285714285,12.0,0.34285714285714286
Kids Accessories,KA hats,KA sun hat,CorporateBaselineQty,59,34.0,198.0,164.0,4.823529411764706,5.411764705882353,8.0,0.23529411764705882
Collab Sleepwear,CS Kids Unisex sleep,CS KU nightgown,CorporateBaselineQty,81,29.0,94.0,65.0,2.2413793103448274,3.6206896551724137,20.0,0.6896551724137931
W Kids Unisex Sleep,WS KU non cotton,WS KU non cttn nightgown,CorporateBaselineQty,28,28.0,0.0,-28.0,-1.0,1.0,28.0,1.0
Collab Apparel,C Kids Unisex,C KU pant,CorporateBaselineQty,98,24.0,257.0,233.0,9.708333333333334,9.791666666666666,1.0,0.041666666666666664
W Baby Apparel,WBby pant,WBby k pant,CorporateBaselineQty,18,23.0,0.0,-23.0,-1.0,1.0,23.0,1.0
Kids Accessories,KA costume accessories,KA costume accessories misc,CorporateBaselineQty,83,22.0,529.0,507.0,23.045454545454547,24.227272727272727,13.0,0.5909090909090909
W Baby Apparel,WBby 1pc,WBby SS 1pc,CorporateBaselineQty,20,22.0,0.0,-22.0,-1.0,1.0,22.0,1.0
Collab Apparel,C Boy,C B jkt-vest,CorporateBaselineQty,49,20.0,92.0,72.0,3.6,4.3,3.0,0.15
Collab Apparel,C Girl,C G skirt,CorporateBaselineQty,41,20.0,32.0,12.0,0.6,2.1,15.0,0.75
Adult Apparel,O unisex apparel,O unisex apparel top,CorporateBaselineQty,34,19.0,0.0,-19.0,-1.0,1.0,19.0,1.0
W Baby Apparel,WBby sets,WBby LS set,CorporateBaselineQty,19,19.0,0.0,-19.0,-1.0,1.0,19.0,1.0
Collab Apparel,C Baby,C Bby dress,CorporateBaselineQty,41,18.0,32.0,14.0,0.7777777777777778,2.111111111111111,10.0,0.5555555555555556
Collab Apparel,C Baby,C Bby sweater,CorporateBaselineQty,72,17.0,94.0,77.0,4.529411764705882,5.235294117647059,5.0,0.29411764705882354
W Baby Sleepwear,WBS footless sleeper,WBS footless stripe,CorporateBaselineQty,12,15.0,0.0,-15.0,-1.0,1.0,15.0,1.0
Girls,G skirt,G w skirt,CorporateBaselineQty,51,12.0,67.0,55.0,4.583333333333333,5.416666666666667,1.0,0.08333333333333333
Adult Sleep,S AU sleepwear,S AU misc,CorporateBaselineQty,19,9.0,26.0,17.0,1.8888888888888888,3.888888888888889,9.0,1.0
Collab Apparel,C Baby-Toddler,C BT swimwear,CorporateBaselineQty,7,8.0,0.0,-8.0,-1.0,1.0,8.0,1.0
Collab Apparel,C Baby/Toddler,C BT top,CorporateBaselineQty,6,8.0,0.0,-8.0,-1.0,1.0,8.0,1.0
Collab Apparel,C Adult,C Womens,CorporateBaselineQty,7,5.0,0.0,-5.0,-1.0,1.0,5.0,1.0
W Kids Unisex Sleep,WS KU SJ,WS KU SJ print,CorporateBaselineQty,5,5.0,0.0,-5.0,-1.0,1.0,5.0,1.0
Collab Sleepwear,CS Kids Unisex sleep,CS KU 1pc,CorporateBaselineQty,7,4.0,0.0,-4.0,-1.0,1.0,4.0,1.0
Kids Accessories,KA hats,KA sweater hat,CorporateBaselineQty,3,4.0,0.0,-4.0,-1.0,1.0,4.0,1.0
Baby Accessories,BA hats,BA pilot/knot hat,CorporateBaselineQty,19,3.0,55.0,52.0,17.333333333333332,19.333333333333332,3.0,1.0
W Baby Apparel,WBby swimwear,WBby swim rash guard,CorporateBaselineQty,3,3.0,0.0,-3.0,-1.0,1.0,3.0,1.0
W Baby Apparel,WBby top,WBby LS top,CorporateBaselineQty,2,2.0,0.0,-2.0,-1.0,1.0,2.0,1.0
W Kids Unisex Slee,WS KU SJ,WS KU SJ print,CorporateBaselineQty,2,2.0,0.0,-2.0,-1.0,1.0,2.0,1.0
W Kids Unisex Sleep,WS KU SJ,WS KU SJ stripe,CorporateBaselineQty,2,2.0,0.0,-2.0,-1.0,1.0,2.0,1.0
Girls,G outerwear,G vest,CorporateBaselineQty,2,1.0,0.0,-1.0,-1.0,1.0,1.0,1.0
W Baby Apparel,WBby bodysuit,WBby LS bodysuit,CorporateBaselineQty,1,1.0,0.0,-1.0,-1.0,1.0,1.0,1.0
Collab Accessories,CA misc,CA misc sock-tight,CorporateBaselineQty,108,0.0,432.0,432.0,0.0,0.0,0.0,0.0
Girls,G dress,G SL dress,HybridBaselineQty,11931,64531.0,59554.412227874695,-4976.5877721253055,-0.07711933446134889,0.6279050173196549,69.0,0.0010692535370597077
Kids Unisex Sleep,S KU SJ,S KU SJ print,HybridBaselineQty,19250,58419.0,59963.281088342046,1544.2810883420461,0.026434569033055105,0.7130836882107451,0.0,0.0
Baby Sleepwear,BS footless sleeper,BS footless print,HybridBaselineQty,13518,29679.0,33947.31635967191,4268.31635967191,0.14381604365618483,0.8400862367628708,1.0,3.369385760975774e-05
Kids Unisex,KU top,KU SS top,HybridBaselineQty,9820,24623.0,26627.1836243378,2004.1836243377984,0.0813947782292084,0.6825169712707109,82.0,0.003330219713276205
Girls,G short,G k short,HybridBaselineQty,5835,23485.0,27824.74439445979,4339.744394459791,0.18478792397103644,0.7299512697327426,1.0,4.258037044922291e-05
Girls,G dress,G SS dress,HybridBaselineQty,8104,19940.0,20107.316590308088,167.31659030808805,0.008391002522973322,0.683621522647259,37.0,0.001855566700100301
Girls,G swimwear,G swim 2pc,HybridBaselineQty,6764,18445.0,15901.443621554883,-2543.556378445117,-0.1378995054727632,0.6253298325795609,1.0,5.421523448088913e-05
Kids Unisex Sleep,S KU LJ,S KU LJ print,HybridBaselineQty,15187,17562.0,22804.306155575825,5242.306155575825,0.29850279897368326,1.0570056898677505,4.0,0.0002277644915157727
Boys,B top,B SS top,HybridBaselineQty,9425,15526.0,13719.593420007674,-1806.4065799923264,-0.11634719695944393,0.6926331828668193,0.0,0.0
Baby Apparel,Bby sets,Bby SS set,HybridBaselineQty,4704,13603.0,13542.05518739197,-60.94481260802968,-0.004480247931193831,0.6562487940062939,0.0,0.0
Kids Unders,U G underwear,U G unders bottom,HybridBaselineQty,2876,13390.0,25759.526785714283,12369.526785714283,0.9237884081937477,1.201118238557559,0.0,0.0
Boys,B swimwear,B swim trunk,HybridBaselineQty,5629,12347.0,10803.047795524011,-1543.9522044759888,-0.1250467485604591,0.6073929963938163,0.0,0.0
Boys,B swimwear,B swim rash guard,HybridBaselineQty,4370,12111.0,12048.339075535981,-62.660924464018535,-0.005173885266618656,0.656839797635743,0.0,0.0
Girls,G swimwear,G swim 1pc,HybridBaselineQty,5134,11716.0,11242.384725407144,-473.6152745928557,-0.040424656417963105,0.6698846807761811,2.0,0.0001707067258449983
Kids Unders,U B underwear,U B unders bottom,HybridBaselineQty,2844,11105.0,28996.98214285714,17891.98214285714,1.6111645333504856,1.8237264424004633,0.0,0.0
Boys,B short,B w short,HybridBaselineQty,3233,8243.0,9015.524528398775,772.5245283987751,0.0937188558047768,0.704347828196527,0.0,0.0
Girls,G pant,G k pant,HybridBaselineQty,4706,8232.0,23436.444073547227,15204.444073547227,1.8469927203045708,2.1758072934302097,3.0,0.00036443148688046647
Kids Unisex,KU top,KU LS top,HybridBaselineQty,8025,8156.0,10977.512145903931,2821.512145903931,0.34594312725648985,1.0377770917942253,1.0,0.00012260912211868564
Baby Apparel,Bby dress,Bby SL dress,HybridBaselineQty,3150,6953.0,5870.18325905274,-1082.8167409472599,-0.15573374672044582,0.6479618482190128,22.0,0.003164101826549691
Girls,G top,G SL top,HybridBaselineQty,2226,6647.0,5874.42538003663,-772.5746199633704,-0.11622906874731014,0.6246490863707277,0.0,0.0
Baby Apparel,Bby swimwear,Bby swim rash guard,HybridBaselineQty,2432,6555.0,6440.994561757687,-114.00543824231318,-0.017392133980520696,0.6612899070270354,0.0,0.0
Girls,G sets,G SL set,HybridBaselineQty,2741,6455.0,5584.78907742995,-870.2109225700497,-0.1348119167420681,0.6669826638348245,0.0,0.0
Kids Unisex,KU pant,KU k pant,HybridBaselineQty,2550,6425.0,7480.223214285714,1055.2232142857138,0.16423707615341848,0.7392537520844913,0.0,0.0
Girls,G swimwear,G swim rash guard,HybridBaselineQty,2576,6024.0,4894.499190571602,-1129.5008094283976,-0.18750013436726387,0.6305579154749649,0.0,0.0
Kids Unisex,KU short,KU k short,HybridBaselineQty,2169,5623.0,7315.945750511566,1692.945750511566,0.30107518237801284,0.8224215937544831,33.0,0.00586875333451894
Girls,G top,G SS top,HybridBaselineQty,2856,5326.0,6018.13129796631,692.1312979663098,0.1299533041619057,0.7498913617584213,0.0,0.0
Girls,G dress,G LS dress,HybridBaselineQty,8203,5323.0,11252.368579789774,5929.368579789774,1.1139148186717591,1.6824219502777076,4.0,0.0007514559458951719
