CandidateID,SourceWorkbook,SKU,WeekIndex,WeekStartDate,ForecastUnits,IsFirst13Weeks
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,8,2026-07-19,0.012002389430203665,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,9,2026-07-26,0.0108021504871833,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,10,2026-08-02,0.009721935438464972,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,11,2026-08-09,0.008749741894618471,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,12,2026-08-16,0.007874767705156625,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,13,2026-08-23,0.007087290934640965,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,14,2026-08-30,0.006378561841176868,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,15,2026-09-06,0.00574070565705918,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,16,2026-09-13,0.005166635091353264,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,17,2026-09-20,0.004649971582217936,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,18,2026-09-27,0.004184974423996143,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,19,2026-10-04,0.0037664769815965284,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,20,2026-10-11,0.0033898292834368756,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,21,2026-10-18,0.003050846355093188,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,22,2026-10-25,0.0027457617195838697,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,23,2026-11-01,0.0024711855476254826,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,24,2026-11-08,0.0022240669928629345,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,25,2026-11-15,0.0020016602935766415,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-M,26,2026-11-22,0.0018014942642189768,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,1,2026-05-31,0.01722342004394269,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,2,2026-06-07,0.015501078039548422,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,3,2026-06-14,0.013950970235593583,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,4,2026-06-21,0.012555873212034222,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,5,2026-06-28,0.011300285890830802,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,6,2026-07-05,0.01017025730174772,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,7,2026-07-12,0.00915323157157295,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,8,2026-07-19,0.008237908414415653,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,9,2026-07-26,0.00741411757297409,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,10,2026-08-02,0.006672705815676682,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,11,2026-08-09,0.0060054352341090125,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,12,2026-08-16,0.005404891710698111,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,13,2026-08-23,0.004864402539628301,True
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,14,2026-08-30,0.004377962285665472,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,15,2026-09-06,0.003940166057098923,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,16,2026-09-13,0.003546149451389031,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,17,2026-09-20,0.0031915345062501284,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,18,2026-09-27,0.0028723810556251154,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,19,2026-10-04,0.002585142950062604,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,20,2026-10-11,0.0023266286550563437,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,21,2026-10-18,0.0020939657895507097,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,22,2026-10-25,0.0018845692105956386,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,23,2026-11-01,0.0016961122895360749,False
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,30070-011-XL,24,2026-11-08,0.0015265010605824672,False
