WindowLabel,FDDay,ForecastName,Rows,ActualUnits,ForecastUnits,BiasUnits,BiasPct,WAPE
y2026_fd_a,1,HorizonConsistentMLForecastQty,9089,15941.0,11455.6048233536,-4485.3951766464,-0.28137476799739036,0.5547857528871406
y2026_fd_a,1,FrozenChampionMLForecastQty,9089,15941.0,13162.539333523615,-2778.460666476385,-0.1742965100355301,0.6067514080636313
y2026_fd_a,1,CorporateBaselineQty,9089,15941.0,10771.0,-5170.0,-0.32432093344206764,1.3465905526629447
y2026_fd_a,1,Recent28BaselineQty,9089,15941.0,17846.720892370344,1905.7208923703438,0.11954839046297872,0.5755955863032403
y2026_fd_a,1,Recent7BaselineQty,9089,15941.0,14604.404761904763,-1336.5952380952367,-0.08384638592906572,0.5391733206675808
y2026_fd_a,1,HybridBaselineQty,9089,15941.0,16729.033312731244,788.0333127312442,0.04943437128983403,0.6288878713852594
y2026_fd_a,2,HorizonConsistentMLForecastQty,8082,10221.0,9563.800834859769,-657.1991651402313,-0.06429891058998448,0.5977608250517005
y2026_fd_a,2,FrozenChampionMLForecastQty,8082,10221.0,12187.045654354828,1966.045654354828,0.19235355193766052,0.7765513099241863
y2026_fd_a,2,CorporateBaselineQty,8082,10221.0,10771.0,550.0,0.053810781723901774,1.7217493395949515
y2026_fd_a,2,Recent28BaselineQty,8082,10221.0,16514.01120466885,6293.011204668848,0.61569427694637,0.922416404144899
y2026_fd_a,2,Recent7BaselineQty,8082,10221.0,12079.061904761904,1858.0619047619039,0.18178866106661812,0.6555033754035808
y2026_fd_a,2,HybridBaselineQty,8082,10221.0,15501.847737286214,5280.847737286214,0.516666445287762,0.9140469868660144
y2026_fd_a,3,HorizonConsistentMLForecastQty,11234,15206.0,11006.84378132231,-4199.15621867769,-0.2761512704641385,0.6760635289952398
y2026_fd_a,3,FrozenChampionMLForecastQty,11234,15206.0,14064.864124544521,-1141.1358754554785,-0.07504510558039448,0.7117169939988686
y2026_fd_a,3,CorporateBaselineQty,11234,15206.0,29994.0,14788.0,0.9725108509798763,2.620412994870446
y2026_fd_a,3,Recent28BaselineQty,11234,15206.0,18673.5275167368,3467.5275167368018,0.22803679578697894,0.710095389077863
y2026_fd_a,3,Recent7BaselineQty,11234,15206.0,13095.957142857143,-2110.0428571428565,-0.13876383382499385,0.6487602011737221
y2026_fd_a,3,HybridBaselineQty,11234,15206.0,22044.581384862176,6838.5813848621765,0.4497291453940666,1.022958847858129
y2026_fd_a,4,HorizonConsistentMLForecastQty,11779,13287.0,11221.349585279291,-2065.650414720709,-0.15546401856857897,0.7296752769768126
y2026_fd_a,4,FrozenChampionMLForecastQty,11779,13287.0,14538.42293956447,1251.4229395644707,0.09418400990174386,0.8351624828360732
y2026_fd_a,4,CorporateBaselineQty,11779,13287.0,25220.0,11933.0,0.8980958831940995,2.5601715962971325
y2026_fd_a,4,Recent28BaselineQty,11779,13287.0,19230.682010732344,5943.682010732344,0.4473306247258481,0.8752255197733085
y2026_fd_a,4,Recent7BaselineQty,11779,13287.0,13456.666666666664,169.66666666666424,0.012769373573166572,0.7118343386123922
y2026_fd_a,4,HybridBaselineQty,11779,13287.0,21246.975964152545,7959.975964152545,0.599080000312527,1.1245348687697565
y2026_fd_a,5,HorizonConsistentMLForecastQty,11820,12432.0,11185.58509136058,-1246.414908639421,-0.1002585994722829,0.7888705217568165
y2026_fd_a,5,FrozenChampionMLForecastQty,11820,12432.0,14371.2543204648,1939.254320464799,0.15598892539131268,0.9042224122480697
y2026_fd_a,5,CorporateBaselineQty,11820,12432.0,26635.0,14203.0,1.142454954954955,2.7843468468468466
y2026_fd_a,5,Recent28BaselineQty,11820,12432.0,19353.914402145856,6921.914402145856,0.5567820465046538,0.9802019935602764
y2026_fd_a,5,Recent7BaselineQty,11820,12432.0,13605.221428571429,1173.221428571429,0.09437109303180735,0.7609542578292579
y2026_fd_a,5,HybridBaselineQty,11820,12432.0,21645.043067318165,9213.043067318165,0.7410748928022978,1.2392745152057763
y2026_fd_a,6,HorizonConsistentMLForecastQty,12477,25573.0,13112.8216173447,-12460.1783826553,-0.48723960359188595,0.7203516323869766
y2026_fd_a,6,FrozenChampionMLForecastQty,12477,25573.0,15231.016511954007,-10341.983488045993,-0.40441025644414,0.70349768494028
y2026_fd_a,6,CorporateBaselineQty,12477,25573.0,30785.0,5212.0,0.20380870449302,1.872130762914011
y2026_fd_a,6,Recent28BaselineQty,12477,25573.0,20146.29332349524,-5426.70667650476,-0.2122045390257209,0.6008783041767558
y2026_fd_a,6,Recent7BaselineQty,12477,25573.0,14456.669047619047,-11116.330952380953,-0.43469014008450135,0.6475899060206728
y2026_fd_a,6,HybridBaselineQty,12477,25573.0,23315.06961662905,-2257.930383370949,-0.08829352768040312,0.8127687131024851
y2026_fd_a,7,HorizonConsistentMLForecastQty,12468,33415.0,15932.570750598847,-17482.429249401153,-0.5231910593865375,0.6947473139984841
y2026_fd_a,7,FrozenChampionMLForecastQty,12468,33415.0,15616.76095599243,-17798.23904400757,-0.5326421979352857,0.7129196634153054
y2026_fd_a,7,CorporateBaselineQty,12468,33415.0,24540.0,-8875.0,-0.2655992817596888,1.4212479425407751
y2026_fd_a,7,Recent28BaselineQty,12468,33415.0,20426.65898311675,-12988.341016883249,-0.3886979206010249,0.604474787820941
y2026_fd_a,7,Recent7BaselineQty,12468,33415.0,17121.897619047617,-16293.102380952383,-0.4875984552132989,0.6218107778799085
y2026_fd_a,7,HybridBaselineQty,12468,33415.0,22425.498964020913,-10989.501035979087,-0.3288792768510874,0.7240862575415248
y2026_fd_a,8,HorizonConsistentMLForecastQty,12262,23797.0,13918.210577128293,-9878.789422871707,-0.4151275128323615,0.6995623832077464
y2026_fd_a,8,FrozenChampionMLForecastQty,12262,23797.0,15051.878162257348,-8745.121837742652,-0.3674884160920558,0.7195175828277867
y2026_fd_a,8,CorporateBaselineQty,12262,23797.0,24219.0,422.0,0.017733327730386182,1.6898768752363744
y2026_fd_a,8,Recent28BaselineQty,12262,23797.0,20609.42233627069,-3187.5776637293093,-0.13394871890277385,0.5969775764012489
y2026_fd_a,8,Recent7BaselineQty,12262,23797.0,18921.100000000002,-4875.899999999998,-0.20489557507248804,0.5446262734198188
y2026_fd_a,8,HybridBaselineQty,12262,23797.0,23076.25235453005,-720.7476454699499,-0.030287332246499557,0.7387976840255129
y2026_fd_a,9,HorizonConsistentMLForecastQty,12847,23608.0,13660.403512421897,-9947.596487578103,-0.42136548998551776,0.7474632396762876
y2026_fd_a,9,FrozenChampionMLForecastQty,12847,23608.0,15701.993038259014,-7906.006961740986,-0.33488677404866934,0.763836360509021
y2026_fd_a,9,CorporateBaselineQty,12847,23608.0,48414.0,24806.0,1.0507455099966114,2.7200101660454084
y2026_fd_a,9,Recent28BaselineQty,12847,23608.0,21679.114682255968,-1928.8853177440324,-0.08170473219857813,0.648475913578918
y2026_fd_a,9,Recent7BaselineQty,12847,23608.0,20579.473809523806,-3028.5261904761937,-0.12828389488631795,0.5760501887979862
y2026_fd_a,9,HybridBaselineQty,12847,23608.0,30389.43704048357,6781.437040483572,0.2872516536972031,1.0126288850033633
