WindowLabel,ForecastName,Rows,ActualUnits,ForecastUnits,BiasUnits,BiasPct,WAPE
y2026_fd_a,HorizonConsistentMLForecastQty,166522,337982.0,150249.57686764188,-187732.42313235812,-0.5554509504422074,0.7779488490085569
y2026_fd_a,FrozenChampionMLForecastQty,166522,337982.0,206749.84860352692,-131232.15139647308,-0.388281480660133,0.7455016638458869
y2026_fd_a,CorporateBaselineQty,166522,337982.0,500583.0,162601.0,0.48109366771011475,2.13422904178329
y2026_fd_a,Recent28BaselineQty,166522,337982.0,285815.46026539133,-52166.53973460867,-0.15434709462222446,0.645410101717754
y2026_fd_a,Recent7BaselineQty,166522,337982.0,268228.64523809525,-69753.35476190475,-0.20638186282673263,0.5748787763000058
y2026_fd_a,HybridBaselineQty,166522,337982.0,370205.93763507996,32223.937635079958,0.0953421709886324,0.8599153071087685
y2026_fd_b,HorizonConsistentMLForecastQty,131534,231129.0,343890.49289982265,112761.49289982265,0.4878725426053098,0.882370470096744
y2026_fd_b,FrozenChampionMLForecastQty,131534,231129.0,467527.43880817783,236398.43880817783,1.0227986916751157,1.3386037244800508
y2026_fd_b,CorporateBaselineQty,131534,231129.0,185703.0,-45426.0,-0.19653959477175084,1.281171986206837
y2026_fd_b,Recent28BaselineQty,131534,231129.0,281550.3126812471,50421.31268124707,0.2181522555856127,0.8291195558482156
y2026_fd_b,Recent7BaselineQty,131534,231129.0,307763.3880952381,76634.38809523807,0.33156543789501997,0.7907905789160413
y2026_fd_b,HybridBaselineQty,131534,231129.0,309919.35910883837,78790.35910883837,0.34089343660396737,0.8613817583684785
