ForecastName,SKUs,ExactTierAccuracy,WithinOneTierAccuracy,UnitsWeightedMisallocationPct,MeanTierRankError
Recent7BaselineQty,30248,0.8036564400952129,0.9829079608569161,0.08074523247661704,0.21545226130653267
Recent28BaselineQty,30248,0.740148108965882,0.9569227717535044,0.10847795948417796,0.3107974080930971
HybridBaselineQty,30248,0.6240743189632373,0.8919597989949749,0.11974816863494116,0.5041325046284052
HorizonConsistentMLForecastQty,30248,0.6203715948161862,0.9370536895001322,0.2642858774474575,0.44640967997884157
FrozenChampionMLForecastQty,30248,0.6051639777836552,0.8905382174028035,0.3263844838704576,0.5274398307326105
CorporateForecastQty,30248,0.2591906902935731,0.4684276646389844,0.794128034777047,1.5874107379000264
CorporateBaselineQty,30248,0.2591906902935731,0.4684276646389844,0.794128034777047,1.5874107379000264
