Division,Department,Class,CorporateRows,CorporateFDUnits,HybridRows,HybridFDUnits,Candidate,FDUnitDeltaVsCorporate,RowDeltaVsCorporate
Baby Sleepwear,BS footless sleeper,BS footless solid,3.0,0.0,0.0,0.0,hybrid_5pct,0.0,-3.0
Boys,B outerwear,B ow,6.0,0.0,6.0,0.0,hybrid_5pct,0.0,0.0
Boys,B sets,B LS set,16.0,0.0,0.0,0.0,hybrid_5pct,0.0,-16.0
Collab Apparel,C Baby,C Bby sweater,3.0,0.0,3.0,0.0,hybrid_5pct,0.0,0.0
Collab Apparel,C Boy,C B sweater,8.0,0.0,8.0,0.0,hybrid_5pct,0.0,0.0
Collab Apparel,C Girl,C G jkt-vest,7.0,0.0,0.0,0.0,hybrid_5pct,0.0,-7.0
Collab Apparel,C Girl,C G sweater,16.0,0.0,0.0,0.0,hybrid_5pct,0.0,-16.0
Collab Apparel,C Kids Unisex,C KU 1pc,4.0,0.0,0.0,0.0,hybrid_5pct,0.0,-4.0
Collab Apparel,C Kids Unisex,C KU sweater,24.0,0.0,0.0,0.0,hybrid_5pct,0.0,-24.0
Collab Sleepwear,CS AU sleep,CS AU misc,33.0,57.0,33.0,57.0,hybrid_5pct,0.0,0.0
Collab Sleepwear,CS Kids Unisex sleep,CS KU 1pc,5.0,0.0,5.0,0.0,hybrid_5pct,0.0,0.0
Girls,G 1pc,G SS 1pc,8.0,0.0,0.0,0.0,hybrid_5pct,0.0,-8.0
Girls,G outerwear,G vest,0.0,0.0,2.0,0.0,hybrid_5pct,0.0,2.0
Girls,G skirt,G w skirt,8.0,0.0,13.0,0.0,hybrid_5pct,0.0,5.0
Kids Accessories,KA costume accessories,KA costume accessories misc,16.0,0.0,13.0,0.0,hybrid_5pct,0.0,-3.0
Kids Accessories,KA moc-slipper,KA slipper,2.0,0.0,2.0,0.0,hybrid_5pct,0.0,0.0
Kids Unders,U B underwear,U B unders top,5.0,0.0,0.0,0.0,hybrid_5pct,0.0,-5.0
Kids Unders,U G underwear,U G unders top,7.0,0.0,0.0,0.0,hybrid_5pct,0.0,-7.0
Kids Unisex,KU outerwear,KU vest,8.0,0.0,8.0,0.0,hybrid_5pct,0.0,0.0
Kids Unisex Sleep,S KU 1pc,S KU 1pc misc,18.0,0.0,0.0,0.0,hybrid_5pct,0.0,-18.0
Kids Unisex Sleep,S KU non cotton,S KU non cttn 1pc,58.0,0.0,0.0,0.0,hybrid_5pct,0.0,-58.0
LEGBaby Accessorie,LEGBA glove-mitten-sca,LEGBA glove-mitten,1.0,0.0,1.0,0.0,hybrid_5pct,0.0,0.0
LEGBaby Accessorie,LEGBA hats,LEGBA hat,1.0,0.0,1.0,0.0,hybrid_5pct,0.0,0.0
LEGKids Unisex Sle,LEGS KU print,LEGS KU pr LJ,1.0,0.0,1.0,0.0,hybrid_5pct,0.0,0.0
LEGLicense Accesso,LEGLA misc,LEGLA misc hat-glove,2.0,0.0,2.0,0.0,hybrid_5pct,0.0,0.0
W Baby Apparel,WBby dress,WBby LS dress,1.0,0.0,1.0,0.0,hybrid_5pct,0.0,0.0
W Baby Apparel,WBby dress,WBby SS dress,5.0,0.0,5.0,0.0,hybrid_5pct,0.0,0.0
W Baby Apparel,WBby sets,WBby SL set,21.0,0.0,21.0,0.0,hybrid_5pct,0.0,0.0
W Baby Apparel,WBby swimwear,WBby swim rash guard,1.0,0.0,1.0,0.0,hybrid_5pct,0.0,0.0
W Baby Sleepwear,WBS footless sleeper,WBS footless print,8.0,0.0,8.0,0.0,hybrid_5pct,0.0,0.0
W Kids Unders,WU B underwear,WU B unders top,1.0,0.0,1.0,0.0,hybrid_5pct,0.0,0.0
W Kids Unisex Slee,WS KU LJ,WS KU LJ stripe,1.0,0.0,1.0,0.0,hybrid_5pct,0.0,0.0
W Kids Unisex Slee,WS KU SJ,WS KU SJ print,6.0,0.0,6.0,0.0,hybrid_5pct,0.0,0.0
W Kids Unisex Slee,WS KU non cotton,WS KU non cttn PJ,5.0,0.0,5.0,0.0,hybrid_5pct,0.0,0.0
Kids Accessories,KA tight,KA tight footed,40.0,0.0,6.0,1.0,hybrid_5pct,1.0,-34.0
Collab Sleepwear,CS Baby sleep,CS Bby footed,5.0,0.0,6.0,2.0,hybrid_5pct,2.0,1.0
Girls,G outerwear,G jkt,60.0,125.0,25.0,135.0,hybrid_5pct,10.0,-35.0
Kids Unisex,KU top,KU SL top,49.0,0.0,16.0,15.0,hybrid_5pct,15.0,-33.0
Collab Sleepwear,CS AU sleep,CS AU Pajama,176.0,134.0,52.0,152.0,hybrid_5pct,18.0,-124.0
Collab Apparel,C Girl,C G top,88.0,0.0,1.0,20.0,hybrid_5pct,20.0,-87.0
Boys,B outerwear,B jkt,47.0,10.0,17.0,31.0,hybrid_5pct,21.0,-30.0
Adult Apparel,O unisex apparel,O unisex apparel top,54.0,0.0,15.0,28.0,hybrid_5pct,28.0,-39.0
Baby Accessories,BA hats,BA sweater hat,3.0,0.0,2.0,28.0,hybrid_5pct,28.0,-1.0
Collab Accessories,CA misc,CA misc sock-tight,112.0,0.0,2.0,28.0,hybrid_5pct,28.0,-110.0
Collab Apparel,C Baby,C Bby 1pc,35.0,0.0,2.0,28.0,hybrid_5pct,28.0,-33.0
Collab Apparel,C Baby-Toddler,C BT swimwear,7.0,0.0,7.0,28.0,hybrid_5pct,28.0,0.0
Collab Sleepwear,CS Kids Unisex sleep,CS KU nightgown,64.0,0.0,5.0,28.0,hybrid_5pct,28.0,-59.0
Kids Unisex,KU sweater,KU swtr cardigan,29.0,0.0,3.0,28.0,hybrid_5pct,28.0,-26.0
Baby Accessories,BA hats,BA sun hat,2.0,0.0,1.0,29.0,hybrid_5pct,29.0,-1.0
Boys,B sweater,B swtr cardigan,76.0,0.0,23.0,29.0,hybrid_5pct,29.0,-53.0
Collab Accessories,CA misc,CA misc hat-glove,17.0,0.0,17.0,30.0,hybrid_5pct,30.0,0.0
Collab Apparel,C Boy,C B set,8.0,0.0,8.0,32.0,hybrid_5pct,32.0,0.0
Collab Sleepwear,CS AU sleep,CS AU SJ,20.0,0.0,14.0,33.0,hybrid_5pct,33.0,-6.0
Other,S Pet Johns,S pet johns stripe,3.0,0.0,2.0,43.0,hybrid_5pct,43.0,-1.0
Boys,B sweater,B swtr pullover,106.0,30.0,58.0,80.0,hybrid_5pct,50.0,-48.0
Baby Apparel,Bby sweater,Bby swtr pullover,68.0,73.0,47.0,124.0,hybrid_5pct,51.0,-21.0
Collab Apparel,C Kids Unisex,C KU swimwear,28.0,0.0,21.0,52.0,hybrid_5pct,52.0,-7.0
Kids Accessories,KA hats,KA sun hat,10.0,0.0,4.0,53.0,hybrid_5pct,53.0,-6.0
Collab Apparel,C Girl,C G short,24.0,0.0,24.0,54.0,hybrid_5pct,54.0,0.0
Girls,G sweater,G swtr cardigan,137.0,95.0,81.0,150.0,hybrid_5pct,55.0,-56.0
Collab Apparel,C Baby-Toddler,C BT pant,10.0,0.0,11.0,56.0,hybrid_5pct,56.0,1.0
Collab Apparel,C Boy,C B jkt-vest,5.0,10.0,5.0,66.0,hybrid_5pct,56.0,0.0
Kids Accessories,KA hats,KA sweater hat,4.0,0.0,6.0,57.0,hybrid_5pct,57.0,2.0
Collab Apparel,C Boy,C B top,12.0,0.0,12.0,58.0,hybrid_5pct,58.0,0.0
Baby Apparel,Bby dress,Bby SS dress,259.0,190.0,114.0,249.0,hybrid_5pct,59.0,-145.0
Collab Apparel,C Girl,C G skirt,38.0,0.0,5.0,59.0,hybrid_5pct,59.0,-33.0
Adult Apparel,O womens apparel,O womens apparel top,64.0,0.0,14.0,60.0,hybrid_5pct,60.0,-50.0
Baby Apparel,Bby sets,Bby SL set,24.0,200.0,42.0,261.0,hybrid_5pct,61.0,18.0
Collab Apparel,C Boy,C B swimwear,23.0,0.0,18.0,66.0,hybrid_5pct,66.0,-5.0
Baby Apparel,Bby top,Bby SL top,0.0,0.0,2.0,70.0,hybrid_5pct,70.0,2.0
Baby Apparel,Bby 1pc,Bby LS 1pc,173.0,106.0,36.0,182.0,hybrid_5pct,76.0,-137.0
Baby Apparel,Bby dress,Bby LS dress,480.0,379.0,185.0,457.0,hybrid_5pct,78.0,-295.0
Collab Sleepwear,CS W sleep,CS W SJ,9.0,0.0,3.0,84.0,hybrid_5pct,84.0,-6.0
Collab Apparel,C Adult,C Womens,35.0,0.0,11.0,86.0,hybrid_5pct,86.0,-24.0
Kids Unisex,KU sweater,KU swtr pullover,96.0,0.0,43.0,87.0,hybrid_5pct,87.0,-53.0
Baby Apparel,Bby bodysuit,Bby LS bodysuit,112.0,454.0,61.0,542.0,hybrid_5pct,88.0,-51.0
Collab Sleepwear,CS W sleep,CS W bottom,64.0,29.0,22.0,117.0,hybrid_5pct,88.0,-42.0
Collab Sleepwear,CS Kids Unisex sleep,CS KU set,162.0,200.0,52.0,293.0,hybrid_5pct,93.0,-110.0
Adult Sleep,S AU sleepwear,S AU Pajama,268.0,64.0,120.0,171.0,hybrid_5pct,107.0,-148.0
Collab Apparel,C Girl,C G dress,279.0,766.0,157.0,878.0,hybrid_5pct,112.0,-122.0
Adult Sleep,S W sleepwear,S W pajama,977.0,527.0,371.0,649.0,hybrid_5pct,122.0,-606.0
Baby Apparel,Bby top,Bby LS top,212.0,187.0,62.0,309.0,hybrid_5pct,122.0,-150.0
Kids Unisex,KU short,KU w short,40.0,24.0,40.0,177.0,hybrid_5pct,153.0,0.0
Collab Apparel,C Kids Unisex,C KU set,32.0,0.0,23.0,156.0,hybrid_5pct,156.0,-9.0
Baby Apparel,Bby pant,Bby w pant,117.0,359.0,65.0,516.0,hybrid_5pct,157.0,-52.0
Baby Apparel,Bby short,Bby k short,31.0,56.0,29.0,224.0,hybrid_5pct,168.0,-2.0
Girls,G top,G SS top,258.0,838.0,176.0,1028.0,hybrid_5pct,190.0,-82.0
Baby Sleepwear,BS footless sleeper,BS footless stripe,236.0,84.0,50.0,276.0,hybrid_5pct,192.0,-186.0
Kids Unisex,KU sets,KU SS set,60.0,391.0,74.0,583.0,hybrid_5pct,192.0,14.0
Adult Apparel,O womens apparel,O womens apparel swim,24.0,0.0,22.0,211.0,hybrid_5pct,211.0,-2.0
Girls,G 1pc,G SL 1pc,149.0,240.0,105.0,460.0,hybrid_5pct,220.0,-44.0
Collab Apparel,C Girl,C G pant,48.0,0.0,26.0,228.0,hybrid_5pct,228.0,-22.0
Boys,B sets,B SS set,37.0,0.0,62.0,233.0,hybrid_5pct,233.0,25.0
Girls,G sets,G SS set,260.0,496.0,199.0,729.0,hybrid_5pct,233.0,-61.0
Collab Apparel,C Adult,C Adult Unisex,117.0,0.0,28.0,242.0,hybrid_5pct,242.0,-89.0
Girls,G sweater,G swtr pullover,187.0,95.0,100.0,337.0,hybrid_5pct,242.0,-87.0
Adult Sleep,S AU sleepwear,S AU SJ,7.0,0.0,40.0,252.0,hybrid_5pct,252.0,33.0
Collab Apparel,C Baby,C Bby set,109.0,41.0,55.0,315.0,hybrid_5pct,274.0,-54.0
Baby Apparel,Bby dress,Bby SL dress set,54.0,136.0,52.0,413.0,hybrid_5pct,277.0,-2.0
Boys,B swimwear,B swim cover up,27.0,0.0,8.0,279.0,hybrid_5pct,279.0,-19.0
Kids Unisex Sleep,S KU non cotton,S KU non cttn nightgown,262.0,369.0,96.0,648.0,hybrid_5pct,279.0,-166.0
Baby Apparel,Bby sweater,Bby swtr cardigan,165.0,90.0,87.0,372.0,hybrid_5pct,282.0,-78.0
Kids Unisex,KU pant,KU w pant,151.0,140.0,96.0,453.0,hybrid_5pct,313.0,-55.0
Kids Unisex Sleep,S KU SJ,S KU SJ stripe,13.0,0.0,31.0,321.0,hybrid_5pct,321.0,18.0
Baby Apparel,Bby dress,Bby SS dress set,167.0,0.0,79.0,363.0,hybrid_5pct,363.0,-88.0
Kids Unisex,KU top,KU LS top,1209.0,1948.0,595.0,2376.0,hybrid_5pct,428.0,-614.0
Baby Apparel,Bby top,Bby SS top,140.0,398.0,121.0,845.0,hybrid_5pct,447.0,-19.0
Girls,G skirt,G k skirt,114.0,167.0,88.0,614.0,hybrid_5pct,447.0,-26.0
Baby Apparel,Bby swimwear,Bby swim 1pc,60.0,70.0,63.0,543.0,hybrid_5pct,473.0,3.0
Boys,B short,B k short,88.0,632.0,101.0,1125.0,hybrid_5pct,493.0,13.0
Girls,G dress,G SL dress,774.0,10728.0,647.0,11222.0,hybrid_5pct,494.0,-127.0
Baby Apparel,Bby 1pc,Bby SS 1pc,113.0,0.0,70.0,506.0,hybrid_5pct,506.0,-43.0
Kids Unisex Sleep,S KU non cotton,S KU non cttn PJ,755.0,608.0,355.0,1119.0,hybrid_5pct,511.0,-400.0
Boys,B swimwear,B swim rash guard,171.0,3300.0,185.0,3815.0,hybrid_5pct,515.0,14.0
Girls,G top,G SL top,131.0,647.0,101.0,1261.0,hybrid_5pct,614.0,-30.0
Girls,G swimwear,G swim cover up,63.0,546.0,56.0,1246.0,hybrid_5pct,700.0,-7.0
Kids Accessories,KA sock,KA sock misc,229.0,70.0,72.0,806.0,hybrid_5pct,736.0,-157.0
Girls,G sets,G SL set,120.0,158.0,149.0,899.0,hybrid_5pct,741.0,29.0
Girls,G short,G w short,32.0,312.0,32.0,1101.0,hybrid_5pct,789.0,0.0
Baby Apparel,Bby swimwear,Bby swim rash guard,131.0,549.0,120.0,1522.0,hybrid_5pct,973.0,-11.0
Baby Apparel,Bby dress,Bby SL dress,283.0,373.0,166.0,1369.0,hybrid_5pct,996.0,-117.0
Boys,B top,B SS top,647.0,1636.0,547.0,2642.0,hybrid_5pct,1006.0,-100.0
Collab Sleepwear,CS Kids Unisex sleep,CS KU SJ,313.0,665.0,244.0,1742.0,hybrid_5pct,1077.0,-69.0
Collab Apparel,C Kids Unisex,C KU top,368.0,80.0,83.0,1238.0,hybrid_5pct,1158.0,-285.0
Girls,G dress,G SS dress,994.0,2067.0,580.0,3410.0,hybrid_5pct,1343.0,-414.0
Girls,G swimwear,G swim rash guard,113.0,416.0,140.0,1795.0,hybrid_5pct,1379.0,27.0
Girls,G swimwear,G swim 1pc,243.0,1252.0,268.0,2851.0,hybrid_5pct,1599.0,25.0
Baby Apparel,Bby sets,Bby SS set,374.0,1014.0,290.0,3054.0,hybrid_5pct,2040.0,-84.0
Kids Unisex,KU top,KU SS top,568.0,3711.0,518.0,6186.0,hybrid_5pct,2475.0,-50.0
Boys,B swimwear,B swim trunk,241.0,1176.0,265.0,4049.0,hybrid_5pct,2873.0,24.0
Baby Sleepwear,BS footless sleeper,BS footless print,1411.0,4499.0,764.0,8153.0,hybrid_5pct,3654.0,-647.0
Girls,G swimwear,G swim 2pc,305.0,2312.0,338.0,6272.0,hybrid_5pct,3960.0,33.0
Kids Unisex Sleep,S KU SJ,S KU SJ print,1153.0,11950.0,955.0,16516.0,hybrid_5pct,4566.0,-198.0
