Candidate,ForecastDate,ForecastSkuDays,SoldSkuDays,ForecastUnits,SoldUnits,AbsErrorUnits,UnderForecastUnits,OverForecastUnits,ZeroForecastSoldUnits,ForecastNoSaleUnits,BiasUnitsForecastMinusActual,BiasPct,WAPE,SoldUnitCoveragePct
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,2026-06-18,3702,5639,10261.0,14800.0,15813.0,10176.0,5637.0,6871.0,4449.0,-4539.0,-0.3066891891891892,1.0684459459459459,0.5357432432432433
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,2026-06-19,3234,5930,8689.0,18725.0,19650.0,14843.0,4807.0,10430.0,3899.0,-10036.0,-0.5359679572763685,1.0493991989319091,0.44299065420560746
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,2026-06-20,3188,5969,8449.0,17835.0,19002.0,14194.0,4808.0,10607.0,4015.0,-9386.0,-0.5262685730305579,1.0654331370899917,0.40527053546397535
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,2026-06-21,3206,6719,10299.0,25784.0,26213.0,20849.0,5364.0,14872.0,4401.0,-15485.0,-0.600566242631089,1.0166382252559727,0.4232081911262799
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,2026-06-22,10952,7552,19399.0,37848.0,35921.0,27185.0,8736.0,2303.0,8026.0,-18449.0,-0.48744979919678716,0.9490858169520185,0.9391513422109491
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,2026-06-23,5018,6879,11964.0,29449.0,29341.0,23413.0,5928.0,10827.0,5438.0,-17485.0,-0.5937383272776665,0.9963326428741214,0.6323474481306666
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,2026-06-24,3335,6769,9857.0,29266.0,30097.0,24753.0,5344.0,16894.0,4830.0,-19409.0,-0.6631927834347023,1.0283947242534,0.42274311487733207
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,2026-06-25,3450,5835,9693.0,21373.0,23896.0,17788.0,6108.0,12921.0,5127.0,-11680.0,-0.546483881532775,1.1180461329715061,0.39545220605436765
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,2026-06-18,3702,5639,10261.0,14800.0,15813.0,10176.0,5637.0,6871.0,4449.0,-4539.0,-0.3066891891891892,1.0684459459459459,0.5357432432432433
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,2026-06-19,3234,5930,8689.0,18725.0,19650.0,14843.0,4807.0,10430.0,3899.0,-10036.0,-0.5359679572763685,1.0493991989319091,0.44299065420560746
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,2026-06-20,3188,5969,8449.0,17835.0,19002.0,14194.0,4808.0,10607.0,4015.0,-9386.0,-0.5262685730305579,1.0654331370899917,0.40527053546397535
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,2026-06-21,3206,6719,10299.0,25784.0,26213.0,20849.0,5364.0,14872.0,4401.0,-15485.0,-0.600566242631089,1.0166382252559727,0.4232081911262799
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,2026-06-22,10952,7552,19399.0,37848.0,35921.0,27185.0,8736.0,2303.0,8026.0,-18449.0,-0.48744979919678716,0.9490858169520185,0.9391513422109491
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,2026-06-23,5018,6879,11964.0,29449.0,29341.0,23413.0,5928.0,10827.0,5438.0,-17485.0,-0.5937383272776665,0.9963326428741214,0.6323474481306666
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,2026-06-24,3335,6769,9857.0,29266.0,30097.0,24753.0,5344.0,16894.0,4830.0,-19409.0,-0.6631927834347023,1.0283947242534,0.42274311487733207
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,2026-06-25,3450,5835,9693.0,21373.0,23896.0,17788.0,6108.0,12921.0,5127.0,-11680.0,-0.546483881532775,1.1180461329715061,0.39545220605436765
recent_no_ml_no_promo_floor,2026-06-18,16336,5639,20043.25,14800.0,15392.164776009617,5074.457388004808,10317.707388004808,31.0,7201.675398733382,5243.25,0.35427364864864863,1.0400111335141633,0.9979054054054054
recent_no_ml_no_promo_floor,2026-06-19,16336,5930,18738.25,18725.0,17899.932843700102,8943.341421850051,8956.591421850051,25.0,6847.500957363784,13.25,0.0007076101468624833,0.9559376685554126,0.9986648865153538
recent_no_ml_no_promo_floor,2026-06-20,16336,5969,12939.410714285716,17835.0,16277.44642857143,10586.517857142857,5690.928571428572,24.0,4942.634821428572,-4895.589285714284,-0.27449337178100836,0.9126687091994073,0.9986543313708999
recent_no_ml_no_promo_floor,2026-06-21,16336,6719,18211.625,25784.0,22354.52608990115,14963.450544950572,7391.075544950574,52.0,5895.490416718994,-7572.375,-0.2936850372323922,0.8669921691708481,0.9979832454235185
recent_no_ml_no_promo_floor,2026-06-22,16336,7552,26874.160714285717,37848.0,32044.910714285714,21509.375,10535.535714285716,145.0,8527.588392857144,-10973.839285714283,-0.2899450244587371,0.8466738193375004,0.9961688860705982
recent_no_ml_no_promo_floor,2026-06-23,16336,6879,22873.625,29449.0,26196.36415660489,16385.869578302445,9810.494578302445,138.0,8408.136738526884,-6575.375,-0.22328007742198377,0.889550210757747,0.9953139325613773
recent_no_ml_no_promo_floor,2026-06-24,16336,6769,18949.75,29266.0,26526.523972442992,18421.386986221496,8105.136986221497,116.0,7199.657299422308,-10316.25,-0.35249948745985105,0.9063939032475566,0.9960363561812342
recent_no_ml_no_promo_floor,2026-06-25,16336,5835,20043.25,21373.0,22963.822577100414,12146.786288550207,10817.036288550207,70.0,8633.747074310626,-1329.75,-0.06221634772844243,1.0744314123941616,0.9967248397510878
