Candidate,SKU,ForecastDays,SoldDays,ForecastUnits,SoldUnits,AbsErrorUnits,UnderForecastUnits,OverForecastUnits,ZeroForecastSoldUnits,ForecastNoSaleUnits,BiasUnitsForecastMinusActual,BiasPct,WAPE,SoldUnitCoveragePct,InventorySnapshotDays,DaysWithPickableInventory,MinPickfacePhysicalQty,MaxPickfacePhysicalQty,AvgPickfacePhysicalQty,AnyPickableInventory,AllObservedDaysNoPickableInventory
hybrid_ml_raw_min20_recent_w0p05,60363-5NF-120,8,8,16.0,371.0,355.0,355.0,0.0,0.0,0.0,-355.0,-0.9568733153638814,0.9568733153638814,1.0,7,7,10.0,158.0,84.57142857142857,True,False
hybrid_ml_raw_min20_recent_w0p05,60363-5NF-110,8,8,14.0,330.0,316.0,316.0,0.0,0.0,0.0,-316.0,-0.9575757575757575,0.9575757575757575,1.0,7,7,22.0,198.0,107.85714285714286,True,False
hybrid_ml_raw_min20_recent_w0p05,84505-5ZY-110,8,8,28.0,285.0,257.0,257.0,0.0,0.0,0.0,-257.0,-0.9017543859649123,0.9017543859649123,1.0,7,7,27.0,154.0,92.57142857142857,True,False
hybrid_ml_raw_min20_recent_w0p05,58660-4NA-S,8,8,55.0,311.0,256.0,256.0,0.0,0.0,0.0,-256.0,-0.8231511254019293,0.8231511254019293,1.0,7,7,20.0,132.0,65.14285714285714,True,False
hybrid_ml_raw_min20_recent_w0p05,84505-5ZY-120,8,8,14.0,270.0,256.0,256.0,0.0,0.0,0.0,-256.0,-0.9481481481481482,0.9481481481481482,1.0,7,7,23.0,107.0,73.85714285714286,True,False
hybrid_ml_raw_min20_recent_w0p05,67848-5ZE-120,8,8,27.0,278.0,251.0,251.0,0.0,0.0,0.0,-251.0,-0.9028776978417267,0.9028776978417267,1.0,7,7,16.0,83.0,52.857142857142854,True,False
hybrid_ml_raw_min20_recent_w0p05,84095-5K5-75,2,8,2.0,226.0,224.0,224.0,0.0,147.0,0.0,-224.0,-0.9911504424778761,0.9911504424778761,0.3495575221238938,7,7,37.0,183.0,100.85714285714286,True,False
hybrid_ml_raw_min20_recent_w0p05,84095-5K5-70,2,8,2.0,215.0,213.0,213.0,0.0,147.0,0.0,-213.0,-0.9906976744186047,0.9906976744186047,0.31627906976744186,7,7,13.0,126.0,69.42857142857143,True,False
hybrid_ml_raw_min20_recent_w0p05,84505-6H6-130,8,8,23.0,234.0,211.0,211.0,0.0,0.0,0.0,-211.0,-0.9017094017094017,0.9017094017094017,1.0,7,7,48.0,118.0,84.0,True,False
hybrid_ml_raw_min20_recent_w0p05,67848-5ZE-130,8,8,43.0,246.0,203.0,203.0,0.0,0.0,0.0,-203.0,-0.8252032520325203,0.8252032520325203,1.0,7,7,29.0,78.0,53.42857142857143,True,False
