Division,Department,Class,Subclass,KeyCategoryView,SKU,Item,Color,Size,ProductGroupCode,SizeGroupCode,Velocity,SlotTier,ReplenishmentThreshold,PutawayIndicator,ProductStatus,ProductStatusDate,ProductStage,ReturnAction,ReturnActionDate,NVARExpectedQty,ForecastStartDate,FD1,FD2,FD3,FD4,FD5,FD6,FD7,FD8,FD9,FD10,FD11,FD12,FD13,FD14
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,80155-XS6-L,80155,XS6,L,AAP,L,C,AAPLC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,81185-2TZ-L,81185,2TZ,L,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,81185-2TZ-M,81185,2TZ,M,AAP,M,C,AAPMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,81185-2TZ-XL,81185,2TZ,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-3BS-S,82836,3BS,S,AAP,S,B,AAPSB,3,1,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-L,82836,5MW,L,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-M,82836,5MW,M,AAP,M,C,AAPMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-S,82836,5MW,S,AAP,S,A,AAPSA,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,1,1,2,2,2,2,2,1,1,2,2
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-XL,82836,5MW,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-XS,82836,5MW,XS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-L,82836,5OA,L,AAP,L,C,AAPLC,3,1,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-M,82836,5OA,M,AAP,M,AA,AAPMAA,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,3,3,3,2,2,2,4,3,3,2,2,2,2,4
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-S,82836,5OA,S,AAP,S,C,AAPSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-XL,82836,5OA,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-XS,82836,5OA,XS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-3BS-XS,82837,3BS,XS,AAP,X,B,AAPXB,3,1,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-L,82837,5MW,L,AAP,L,A,AAPLA,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-M,82837,5MW,M,AAP,M,C,AAPMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-S,82837,5MW,S,AAP,S,C,AAPSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-XL,82837,5MW,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-XS,82837,5MW,XS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-L,82837,5OA,L,AAP,L,C,AAPLC,3,1,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-M,82837,5OA,M,AAP,M,AA,AAPMAA,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,3,3,3,2,2,2,4,3,3,2,2,2,2,4
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-S,82837,5OA,S,AAP,S,C,AAPSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-XL,82837,5OA,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-XS,82837,5OA,XS,AAP,X,C,AAPXC,3,1,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,83030-1SA-XS,83030,1SA,XS,AAP,X,B,AAPXB,3,1,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,3,2,2,2,2,2,2,3
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-011-L,83828,011,L,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-011-M,83828,011,M,AAP,M,B,AAPMB,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-011-XL,83828,011,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-011-XXL,83828,011,XXL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-L,83828,3UU,L,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-M,83828,3UU,M,AAP,M,C,AAPMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-S,83828,3UU,S,AAP,S,C,AAPSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-XL,83828,3UU,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-XS,83828,3UU,XS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-XXL,83828,3UU,XXL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-XXS,83828,3UU,XXS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,83974-4AT-S,83974,4AT,S,AAP,S,B,AAPSB,3,1,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Apparel,O womens apparel,O womens apparel top,,Top,83974-5EC-L,83974,5EC,L,AAP,L,C,AAPLC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,83974-5EC-XS,83974,5EC,XS,AAP,X,C,AAPXC,3,0,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,83980-5DC-L,83980,5DC,L,AAP,L,C,AAPLC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,83980-5DC-M,83980,5DC,M,AAP,M,C,AAPMC,3,1,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,83980-5DC-XS,83980,5DC,XS,AAP,X,C,AAPXC,3,0,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,84017-5FH-L,84017,5FH,L,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,84017-5FH-M,84017,5FH,M,AAP,M,C,AAPMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,84017-5FH-S,84017,5FH,S,AAP,S,C,AAPSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,84017-5FH-XL,84017,5FH,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,84017-5FH-XS,84017,5FH,XS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,84017-5FH-XXL,84017,5FH,XXL,AAP,L,C,AAPLC,3,0,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,84017-5FH-XXS,84017,5FH,XXS,AAP,X,C,AAPXC,3,0,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-011-L,30070,011,L,ASL,L,B,ASLLB,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-011-M,30070,011,M,ASL,M,C,ASLMC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-011-XL,30070,011,XL,ASL,L,C,ASLLC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-011-XS,30070,011,XS,ASL,X,C,ASLXC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-011-XXL,30070,011,XXL,ASL,L,C,ASLLC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-S74-L,30070,S74,L,ASL,L,C,ASLLC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-SR4-L,30070,SR4,L,ASL,L,C,ASLLC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-SR4-M,30070,SR4,M,ASL,M,C,ASLMC,3,0,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-SR4-XL,30070,SR4,XL,ASL,L,C,ASLLC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-SR4-XS,30070,SR4,XS,ASL,X,C,ASLXC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-SR4-XXL,30070,SR4,XXL,ASL,L,C,ASLLC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,30070-U74-XS,30070,U74,XS,ASL,X,C,ASLXC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU SJ,,Sleep,30810-1FL-M,30810,1FL,M,ASL,M,B,ASLMB,3,1,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,42068-75Z-L,42068,75Z,L,ASL,L,C,ASLLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,42068-75Z-M,42068,75Z,M,ASL,M,C,ASLMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,42068-75Z-S,42068,75Z,S,ASL,S,C,ASLSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,42068-75Z-XL,42068,75Z,XL,ASL,L,C,ASLLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,42068-75Z-XS,42068,75Z,XS,ASL,X,C,ASLXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S AU sleepwear,S AU LJ top,,Sleep,42068-75Z-XXL,42068,75Z,XXL,ASL,L,C,ASLLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2BX-M,44403,2BX,M,ASL,M,C,ASLMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2BX-S,44403,2BX,S,ASL,S,C,ASLSC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2BX-XS,44403,2BX,XS,ASL,X,C,ASLXC,3,0,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2CF-L,44403,2CF,L,ASL,L,A,ASLLA,30,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,3,3,3,3,2,3,3,3,3,3,3,2,3,3
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2CF-M,44403,2CF,M,ASL,M,C,ASLMC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2CF-S,44403,2CF,S,ASL,S,C,ASLSC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2CF-XS,44403,2CF,XS,ASL,X,C,ASLXC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2CH-L,44403,2CH,L,ASL,L,C,ASLLC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2CH-M,44403,2CH,M,ASL,M,C,ASLMC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2CH-S,44403,2CH,S,ASL,S,C,ASLSC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2CH-XL,44403,2CH,XL,ASL,L,C,ASLLC,3,0,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2CH-XS,44403,2CH,XS,ASL,X,C,ASLXC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2FV-L,44403,2FV,L,ASL,L,B,ASLLB,3,1,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-2GX-L,44403,2GX,L,ASL,L,B,ASLLB,3,1,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,1,1,2,2,2,2,2,1,1,2,2
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-75Z-L,44403,75Z,L,ASL,L,C,ASLLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-75Z-M,44403,75Z,M,ASL,M,C,ASLMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-75Z-S,44403,75Z,S,ASL,S,C,ASLSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-75Z-XL,44403,75Z,XL,ASL,L,C,ASLLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-75Z-XS,44403,75Z,XS,ASL,X,C,ASLXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-75Z-XXL,44403,75Z,XXL,ASL,L,C,ASLLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-FU8-S,44403,FU8,S,ASL,S,B,ASLSB,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-FU8-XS,44403,FU8,XS,ASL,X,C,ASLXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-QX6-M,44403,QX6,M,ASL,M,C,ASLMC,3,1,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-QX6-S,44403,QX6,S,ASL,S,C,ASLSC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-QX6-XS,44403,QX6,XS,ASL,X,C,ASLXC,29,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Sleep,S W sleepwear,S W LJ bottom,,Sleep,44403-XS9-XXL,44403,XS9,XXL,ASL,L,C,ASLLC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
