Date,remaining_volume_units,units_shipped_goal,shipped_units_powerbi,forecasted_demand_units,ops_imf_plan_forecasted_units,actual_demand_units,percentage_demand_vs_forecast,plan_vs_actual_demand_pct,powerbi_vs_actual_demand_pct,kpi_forecasted_demand_units,kpi_minus_actual_demand_units
2024-02-04,9965.0,9000.0,7028.0,8494.004834269677,8798.0,8494.0,0.9654466924300977,1.0357899693901578,0.8274075818224629,8494.004834269677,0.004834269677303382
2024-02-05,11431.0,10000.0,11030.0,8573.00301196235,8597.0,8573.0,0.9972083284866814,1.0027994867607606,1.286597457132859,8573.00301196235,0.0030119623497739667
2024-02-06,8974.0,8000.0,8301.0,10091.00466988261,11619.0,10091.0,0.8684912643084602,1.1514220592607274,0.8226142106827866,10091.00466988261,0.004669882609960041
2024-02-07,10764.0,8000.0,10006.0,9774.992677046332,8979.0,9775.0,1.0886512974718787,0.9185677749360613,1.0236317135549873,9774.992677046332,-0.0073229536683356855
2024-02-08,10533.0,10000.0,10004.0,9297.997475685928,9031.0,9298.0,1.0295648322444912,0.9712841471284147,1.0759303075930307,9297.997475685928,-0.0025243140717066126
2024-02-09,9827.0,7000.0,6291.0,9713.010936377957,8399.0,9713.0,1.156447196094773,0.8647173890662,0.6476886646762071,9713.010936377957,0.010936377957477816
2024-02-10,13249.0,7000.0,8069.0,9030.007571893335,8845.0,9030.0,1.0209157716223856,0.9795127353266888,0.8935769656699889,9030.007571893335,0.00757189333489805
2024-02-11,14210.0,10000.0,12243.0,9370.000868814715,8546.0,9370.0,1.0964193774865434,0.9120597652081109,1.3066168623265741,9370.000868814715,0.0008688147154316539
2024-02-12,11337.0,10000.0,9297.0,8182.999400631436,7972.0,8183.0,1.02646763672855,0.9742148356348528,1.1361358914823414,8182.999400631436,-0.0005993685635985457
2024-02-13,10223.0,8000.0,9386.0,8365.011097252269,10199.0,8365.0,0.820178448867536,1.2192468619246861,1.122056186491333,8365.011097252269,0.011097252268882585
2024-02-14,9202.0,8000.0,6868.0,7194.009686711551,9289.0,7194.0,0.7744644202820541,1.2912149013066445,0.9546844592716153,7194.009686711551,0.009686711550784821
2024-02-15,9528.0,7000.0,7892.0,8582.004447506342,9311.0,8582.0,0.9217055096122866,1.0849452342111396,0.9195991610347238,8582.004447506342,0.004447506342330598
2024-02-16,10218.0,10000.0,7975.0,17989.977854390505,17038.0,17990.0,1.0558751027115858,0.9470817120622568,0.443301834352418,17989.977854390505,-0.022145609495055396
2024-02-17,20233.0,15000.0,15736.0,18648.023214512392,16371.0,18648.0,1.1390874106652007,0.877895752895753,0.8438438438438438,18648.023214512392,0.0232145123918599
2024-02-18,23145.0,15000.0,20970.0,20263.99767327359,17601.0,20264.0,1.1512982216919494,0.8685846821950257,1.0348401105408607,20263.99767327359,-0.002326726411411073
2024-02-19,22439.0,19000.0,24808.0,29104.985666714958,23466.0,29105.0,1.2403051223046109,0.8062532210960316,0.8523621370898471,29104.985666714958,-0.014333285042084754
2024-02-20,26736.0,22000.0,26065.0,17656.98683063406,8843.0,17657.0,1.9967205699423272,0.500821204055049,1.4761850824035794,17656.98683063406,-0.013169365938665578
2024-02-21,18328.0,16000.0,17029.0,7256.003383192102,8534.0,7256.0,0.8502460745254277,1.1761300992282249,2.346885336273429,7256.003383192102,0.0033831921018645517
2024-02-22,8555.0,7000.0,8019.0,8973.00892496609,7530.0,8973.0,1.1916334661354582,0.8391842193246406,0.8936810431293881,8973.00892496609,0.008924966090489761
2024-02-23,9509.0,7000.0,5746.0,8141.007752439576,7919.0,8141.0,1.0280338426569011,0.972730622773615,0.7058100970396757,8141.007752439576,0.007752439575597236
2024-02-24,11904.0,11000.0,9452.0,10326.011215339391,7599.0,10326.0,1.3588630082905646,0.7359093550261476,0.915359287236103,10326.011215339391,0.01121533939112851
2024-02-25,12778.0,11000.0,13993.0,11330.007566911208,9018.0,11330.0,1.2563761366156576,0.7959399823477493,1.2350397175639893,11330.007566911208,0.00756691120841424
2024-02-26,10115.0,7500.0,10907.0,11603.007850751672,8361.0,11604.0,1.3878722640832437,0.7205274043433298,0.9399345053429852,11603.007850751672,-0.9921492483281327
2024-02-27,10812.0,9000.0,12035.0,9961.993118814698,16908.0,9962.0,0.5891885497989118,1.6972495482834773,1.2080907448303553,9961.993118814698,-0.006881185301608639
2024-02-28,8739.0,10000.0,9572.0,10046.992762729124,11890.0,10047.0,0.8449957947855341,1.183437842141933,0.9527222056335224,10046.992762729124,-0.007237270876430557
2024-02-29,9214.0,10000.0,9434.0,11302.001117005739,12361.0,11302.0,0.914327319796133,1.0937002300477792,0.8347195186692621,11302.001117005739,0.0011170057387062116
