Date,remaining_volume_units,units_shipped_goal,shipped_units_powerbi,forecasted_demand_units,ops_imf_plan_forecasted_units,actual_demand_units,percentage_demand_vs_forecast,plan_vs_actual_demand_pct,powerbi_vs_actual_demand_pct,kpi_forecasted_demand_units,kpi_minus_actual_demand_units
2025-02-02,2500.0,2500,7700,9573.000526938367,,9573.0,0.9999999449557779,,0.8043455552073541,9573.000526938367,0.0005269383673294215
2025-02-03,4373.0,7000,10524,9053.995331007281,,9054.0,1.0000005156831375,,1.1623591782637508,9053.995331007281,-0.00466899271850707
2025-02-04,2903.0,7000,10799,10192.990917905772,,10193.0,1.0000008910136682,,1.059452565486118,10192.990917905772,-0.009082094227778725
2025-02-05,2297.0,8000,9520,9558.010757294218,,9558.0,0.9999988745258306,,0.996024272860431,9558.010757294218,0.010757294217910385
2025-02-06,2335.0,7000,10470,10013.012148559803,,10013.0,0.9999987867227541,,1.0456406671327274,10013.012148559803,0.01214855980288121
2025-02-07,1878.0,3000,5668,8281.004975161486,,8281.0,0.9999993992080066,,0.6844583987441131,8281.004975161486,0.004975161486072466
2025-02-08,4491.0,5000,5929,9525.990162703125,,9526.0,1.0000010326797222,,0.6224018475750578,9525.990162703125,-0.009837296875048196
2025-02-09,8088.0,15000,14944,10301.99235141968,,10302.0,1.0000007424370023,,1.450592118035333,10301.99235141968,-0.0076485803201649105
2025-02-10,3446.0,8000,11440,9290.9967908595,,9291.0,1.0000003454032513,,1.2312991066623615,9290.9967908595,-0.0032091404991660966
2025-02-11,1297.0,7000,8989,8513.003692447975,,8513.0,0.9999995662579145,,1.0559144837307648,8513.003692447975,0.0036924479754816275
2025-02-12,821.0,7000,8111,7876.996673301151,,7877.0,1.000000422330869,,1.029706741145106,7876.996673301151,-0.0033266988493778626
2025-02-13,587.0,8000,7313,7469.0056579581415,,7469.0,0.9999992424750495,,0.9791136698353193,7469.0056579581415,0.00565795814145531
2025-02-14,743.0,7000,7107,12469.987124964053,,12470.0,1.0000010324818958,,0.5699278267842823,12469.987124964053,-0.012875035947217839
2025-02-15,6106.0,12000,8732,15830.004222795187,,15830.0,0.9999997332410574,,0.5516108654453569,15830.004222795187,0.004222795187160955
2025-02-16,13204.0,22000,21935,21237.987794350593,,21238.0,1.000000574708373,,1.0328185328185329,21237.987794350593,-0.012205649407405872
2025-02-17,12507.0,27000,26305,22465.98406266873,,22466.0,1.0000007093983163,,1.1708804415561294,22465.98406266873,-0.015937331270833965
2025-02-18,8668.0,14000,18637,15059.000590276943,,15059.0,0.9999999608023826,,1.2375987781393187,15059.000590276943,0.0005902769426029408
2025-02-19,5090.0,0,0,8439.009045270062,,8439.0,0.999998928159691,,0.0,8439.009045270062,0.009045270062415511
2025-02-20,13529.0,15000,18837,8327.999140714792,,8328.0,1.000000103180271,,2.261887608069164,8327.999140714792,-0.0008592852082074387
2025-02-21,3020.0,7000,7944,8725.000401446352,,8725.0,0.9999999539889589,,0.910487106017192,8725.000401446352,0.00040144635204342194
2025-02-22,3801.0,7000,7973,19158.986871561898,,19159.0,1.000000685236552,,0.4161490683229814,19158.986871561898,-0.013128438102285145
2025-02-23,14987.0,15000,22771,20169.990662716784,,20170.0,1.0000004629294763,,1.1289538919186912,20169.990662716784,-0.009337283216154901
2025-02-24,12386.0,18000,21362,9668.003861947558,,9668.0,0.9999996005434407,,2.2095573024410426,9668.003861947558,0.003861947558107204
2025-02-25,692.0,8000,9783,9719.014316163231,,9719.0,0.9999985269943262,,1.0065850396131288,9719.014316163231,0.014316163231342216
2025-02-26,628.0,8000,9890,9637.993985424237,,9638.0,1.0000006240485078,,1.026146503423947,9637.993985424237,-0.006014575763401808
2025-02-27,376.0,8000,9821,9133.998655968519,,9134.0,1.0000001471460127,,1.0752134880665645,9133.998655968519,-0.0013440314814943122
2025-02-28,-311.0,7000,5028,7651.997659699346,,7652.0,1.000000305841789,,0.6570831155253528,7651.997659699346,-0.0023403006543958327
2025-03-01,2313.0,7000,7408,15822.988475707827,,15823.0,1.0000007283258905,,0.46817923276243445,15822.988475707827,-0.011524292172907735
2025-03-02,10728.0,15000,18288,19904.011188822802,,19904.0,0.9999994378609067,,0.9188102893890675,19904.011188822802,0.011188822802068898
2025-03-03,18152.0,17000,22198,9775.00475706042,,9775.0,0.9999995133444394,,2.270895140664962,9775.00475706042,0.004757060420160997
2025-03-04,5729.0,9000,10631,9721.998740788918,,9722.0,1.0000001295218315,,1.0934992799835426,9721.998740788918,-0.0012592110815603519
2025-03-05,4820.0,8000,9818,9936.005644189065,,9936.0,0.9999994319458677,,0.9881239935587761,9936.005644189065,0.005644189064696548
2025-03-06,4938.0,6000,10160,9425.99909573735,,9426.0,1.0000000959328175,,1.0778697220454063,9425.99909573735,-0.0009042626497830497
2025-03-07,4204.0,5000,5556,9544.004443213622,,9403.0,0.9852258615288172,,0.5908752525789641,9544.004443213622,141.00444321362193
2025-03-08,8051.0,7000,8682,11336.989603314962,,11350.0,1.0011476059465763,,0.7649339207048458,11336.989603314962,-13.010396685038359
2025-03-09,10719.0,17000,17677,13071.993333837452,,13200.0,1.009792436615707,,1.3391666666666666,13071.993333837452,-128.00666616254784
2025-03-10,6242.0,17000,12264,11295.990605739662,,11296.0,1.0000008316455515,,1.0856940509915014,11295.990605739662,-0.009394260338012828
2025-03-11,5274.0,12000,12070,11571.007832330977,,11571.0,0.9999993231072789,,1.0431250540143462,11571.007832330977,0.00783233097718039
2025-03-12,4775.0,12000,12158,11007.98852439804,,11008.0,1.0000010424794625,,1.104469476744186,11007.98852439804,-0.011475601959318737
2025-03-13,3625.0,10000,12139,21607.985234988464,,21608.0,1.0000006833127373,,0.561782673084043,21607.985234988464,-0.014765011535928352
2025-03-14,13094.0,12000,11311,16514.004422616472,,16514.0,0.9999997321899426,,0.6849339953978443,16514.004422616472,0.0044226164718566
2025-03-15,18297.0,12000,13639,19502.993732375646,,19503.0,1.0000003213672957,,0.6993283084653643,19502.993732375646,-0.006267624354222789
2025-03-16,24161.0,20000,23854,27578.02247579893,,27578.0,0.9999991850104933,,0.8649648270360433,27578.02247579893,0.022475798930827295
2025-03-17,27885.0,28000,28893,10118.011332405746,,10118.0,0.9999988799769665,,2.8556038742834553,10118.011332405746,0.011332405745633878
2025-03-18,9110.0,12000,13864,10277.004808190228,,10277.0,0.9999995321408993,,1.3490318186241121,10277.004808190228,0.0048081902277772315
2025-03-19,5523.0,13000,12219,10047.996842466686,,10048.0,1.0000003142450544,,1.216062898089172,10047.996842466686,-0.003157533314151806
2025-03-20,3352.0,8000,10122,10496.991587069615,,10497.0,1.0000008014610964,,0.9642755072877965,10496.991587069615,-0.008412930385020445
2025-03-21,3727.0,10000,7412,18495.006071337317,,18495.0,0.9999996717309909,,0.40075696134090294,18495.006071337317,0.00607133731682552
2025-03-22,14810.0,14000,14291,20617.97203758184,,20618.0,1.000001356215738,,0.6931322145697933,20617.97203758184,-0.027962418160313973
2025-03-23,21137.0,24000,20606,28098.997724698034,,28099.0,1.0000000809744884,,0.733335705897007,28098.997724698034,-0.0022753019657102413
2025-03-24,28630.0,30000,26568,26270.970668635535,,26271.0,1.0000011164933658,,1.0113052415210688,26270.970668635535,-0.029331364465178922
2025-03-25,28333.0,13500,21812,12777.001377033173,,12777.0,0.9999998922256379,,1.7071299992173437,12777.001377033173,0.001377033173412201
2025-03-26,19298.0,14000,20014,11292.991838399612,,11293.0,1.0000007227137417,,1.7722482954042327,11292.991838399612,-0.00816160038812086
2025-03-27,10577.0,14000,17377,10847.99948434907,,10848.0,1.0000000475341957,,1.6018620943952802,10847.99948434907,-0.0005156509305379586
2025-03-28,4048.0,6000,6689,9985.99373021461,,9986.0,1.0000006278579339,,0.6698377728820348,9985.99373021461,-0.006269785390031757
2025-03-29,7345.0,6000,9642,13162.982751235872,,13163.0,1.0000013103993566,,0.7325077869786523,13162.982751235872,-0.01724876412845333
2025-03-30,10866.0,15000,14940,14994.014520460103,,14994.0,0.999999031582897,,0.9963985594237695,14994.014520460103,0.014520460103085497
2025-03-31,10920.0,15000,19060,13116.00482228176,,13116.0,0.999999632336079,,1.4531869472400123,13116.00482228176,0.00482228176042554
2025-04-01,4976.0,10000,13703,12154.996080391256,,12155.0,1.0000003224689435,,1.1273549979432331,12154.996080391256,-0.003919608743672143
2025-04-02,3428.0,10000,8438,10845.001364043128,,10845.0,0.9999998742237938,,0.7780544029506685,10845.001364043128,0.0013640431279782206
2025-04-03,5835.0,10000,11835,10684.993738258909,,10685.0,1.00000058603133,,1.1076275152082358,10684.993738258909,-0.006261741091293516
2025-04-04,4685.0,7000,8211,18358.98958097254,,18359.0,1.0000005675163883,,0.4472465820578463,18358.98958097254,-0.010419027461466612
2025-04-05,14833.0,12000,13864,19227.992307958,,19228.0,1.0000004000439504,,0.721031828583316,19227.992307958,-0.007692041999689536
2025-04-06,20197.0,25000,19823,21169.004262576876,,21169.0,0.9999997986406529,,0.9364164580282488,21169.004262576876,0.0042625768764992245
2025-04-07,21543.0,23000,23922,12453.994692510962,,12454.0,1.0000004261676008,,1.920828649429902,12453.994692510962,-0.005307489038386848
2025-04-08,10075.0,13000,15270,11429.011225133154,,11429.0,0.9999990178386448,,1.3360748971913554,11429.011225133154,0.011225133153857314
2025-04-09,10441.0,13000,14109,10649.001952446915,,10649.0,0.9999998166544692,,1.324913137383792,10649.001952446915,0.0019524469153111568
2025-04-10,6981.0,11000,12371,10339.005674125003,,10339.0,0.9999994511923891,,1.196537382725602,10339.005674125003,0.00567412500276987
2025-04-11,4949.0,10000,5991,12853.987724302,,12854.0,1.00000095501087,,0.46608059747938385,12853.987724302,-0.012275697999939439
2025-04-12,11812.0,12500,12307,13023.988729372053,,13024.0,1.0000008653745163,,0.9449477886977887,13023.988729372053,-0.011270627946942113
2025-04-13,12529.0,20000,16163,15063.019252719278,,15063.0,0.9999987218552301,,1.073026621522937,15063.019252719278,0.019252719277574215
2025-04-14,11429.0,14000,16444,9791.992187390602,,9792.0,1.0000007978569885,,1.6793300653594772,9791.992187390602,-0.007812609397660708
2025-04-15,4777.0,9000,10472,10666.003403976985,,10666.0,0.9999996808573131,,0.9818113632102007,10666.003403976985,0.0034039769852824975
2025-04-16,6426.0,9000,10624,8703.007678246227,,8703.0,0.9999991177479658,,1.220728484430656,8703.007678246227,0.007678246227442287
2025-04-17,4505.0,8000,9221,7854.995859763908,,7855.0,1.0000005270831667,,1.173901973265436,7854.995859763908,-0.004140236092098348
2025-04-18,3139.0,6000,4799,8554.000465293137,,8554.0,0.9999999456052009,,0.561024082300678,8554.000465293137,0.0004652931365853874
2025-04-19,6894.0,12000,8979,8578.989155852485,,8579.0,1.0000012640355778,,1.046625480825271,8578.989155852485,-0.01084414751494478
2025-04-20,6494.0,0,0,10771.991992790523,,10772.0,1.0000007433360034,,0.0,10771.991992790523,-0.008007209477000288
2025-04-21,17266.0,20000,24191,12038.001061241544,,12038.0,0.9999999118423782,,2.0095530819072938,12038.001061241544,0.0010612415444484213
2025-04-22,5113.0,10000,10821,10898.989575010062,,10899.0,1.0000009565097632,,0.9928433801266171,10898.989575010062,-0.010424989937746432
2025-04-23,5191.0,15000,18882,31154.023947813635,,31154.0,0.9999992313091344,,0.6060858958721191,31154.023947813635,0.02394781363545917
2025-04-24,17463.0,21000,27212,23844.019825038096,,23844.0,0.9999991685530275,,1.1412514678745176,23844.019825038096,0.01982503809631453
