Candidate,ForecastSKUs,SoldSKUs,ForecastUnits,SoldUnits,AbsErrorUnits,WAPE,BiasPct,SoldUnitCoveragePct,ZeroForecastSoldUnitPct
recent_no_ml_no_promo_floor,16789,12719,251780.40178571432,231129.0,125824.2092427738,0.5443895367642044,0.08935011091517862,0.9798640585993104,0.02013594140068966
hybrid_ml_raw_min20_recent_w0p1,11270,12719,525206.0,231129.0,362321.0,1.5676137568197845,1.2723500729030108,0.9424260910573748,0.05757390894262512
hybrid_ml_raw_min20_recent_w0p05,9251,12719,521651.0,231129.0,363364.0,1.572126388293983,1.2569690519147316,0.8958849819797602,0.10411501802023979
