Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,OvergeneratedZeroDemandUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgSoldUnitForecastCoveragePct,WAPE,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,ZeroForecastSoldUnitPct
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x0p85,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x1p0,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x1p1,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05_cap_recent_x1p25,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p0,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p1,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
ml_cold_start_raw_future_guardrail_min_20p0_units,26,44200.41246903855,97258.0,134891.8972382065,92453.0,10724.93313878291,57160.0,12.038461538461538,0.05942219047525796,1.3869491171750035,-53057.58753096145,-0.5455344293627409,0.9505953237779926
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05,26,45201.076171719236,97258.0,135892.5609408872,92453.0,11725.596841463599,57160.0,14.153846153846153,0.05942219047525796,1.39723787185514,-52056.923828280764,-0.5352456746826046,0.9505953237779926
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x0p85,26,45201.076171719236,97258.0,135892.5609408872,92453.0,11725.596841463599,57160.0,14.153846153846153,0.05942219047525796,1.39723787185514,-52056.923828280764,-0.5352456746826046,0.9505953237779926
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p0,26,45201.076171719236,97258.0,135892.5609408872,92453.0,11725.596841463599,57160.0,14.153846153846153,0.05942219047525796,1.39723787185514,-52056.923828280764,-0.5352456746826046,0.9505953237779926
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p1,26,45201.076171719236,97258.0,135892.5609408872,92453.0,11725.596841463599,57160.0,14.153846153846153,0.05942219047525796,1.39723787185514,-52056.923828280764,-0.5352456746826046,0.9505953237779926
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05_cap_recent_x1p25,26,45201.076171719236,97258.0,135892.5609408872,92453.0,11725.596841463599,57160.0,14.153846153846153,0.05942219047525796,1.39723787185514,-52056.923828280764,-0.5352456746826046,0.9505953237779926
