ForecastDate,CurrentUnits,PlannerUnits,TargetUnits,ScaledUnits
2026-06-16,13351,9551.0,9551.0,9551
2026-06-17,9098,8817.0,8817.0,8817
2026-06-18,37966,36157.26681127982,36157.26681127982,36157
2026-06-19,28059,26873.6442516269,26873.6442516269,26874
2026-06-20,28059,27228.30802603037,27228.30802603037,27228
2026-06-21,37966,35894.65835140997,35894.65835140997,35895
2026-06-22,22953,21713.66594360087,21713.66594360087,21714
2026-06-23,43872,40470.16092417897,40470.16092417897,40470
2026-06-24,32541,32102.44527706567,32102.44527706567,32102
2026-06-25,40420,37322.16321340413,37322.16321340413,37322
2026-06-26,32987,31563.00532439362,31563.00532439362,31563
2026-06-27,33925,32274.57218606894,32274.57218606894,32275
2026-06-28,41579,36375.97796680397,36375.97796680397,36376
2026-06-29,30087,29377.87418655098,29377.87418655098,29378
