Date,SKU,pdl_sku_offer_rows,pdl_sku_active_events,pdl_sku_distinct_offer_colors,pdl_sku_max_discount_pct,pdl_sku_avg_discount_pct,pdl_sku_min_promo_price,pdl_sku_total_avail_inv,pdl_sku_total_avail_plus_oo,pdl_sku_lw_unit_sales,pdl_sku_has_markdown,pdl_sku_has_final_sale,pdl_sku_has_tier1_recommendation,pdl_sku_primary_sheet_type,pdl_sku_primary_scope,pdl_sku_primary_event_name,HasSkuPDLPromotion
2026-07-07,30810-1FL-XL,1,1,1,0.8,0.8,18.79,0.0,0.0,0.0,False,False,False,promo_detail,Sleep/PJs|Clearance,Clearance Offers,True
2026-07-07,30810-1FL-XS,1,1,1,0.8,0.8,18.79,0.0,0.0,0.0,False,False,False,promo_detail,Sleep/PJs|Clearance,Clearance Offers,True
2026-07-07,30810-1FL-XXL,1,1,1,0.8,0.8,18.79,0.0,0.0,0.0,False,False,False,promo_detail,Sleep/PJs|Clearance,Clearance Offers,True
2026-07-07,33175-011-100,2,1,1,0.3772727272727273,0.3772727272727273,34.25,5839.0,11678.0,22.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-011-110,2,1,1,0.3772727272727273,0.3772727272727273,34.25,5839.0,11678.0,22.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-011-120,2,1,1,0.3772727272727273,0.3772727272727273,34.25,5839.0,11678.0,22.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-011-130,2,1,1,0.3772727272727273,0.3772727272727273,34.25,5839.0,11678.0,22.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-011-140,2,1,1,0.3772727272727273,0.3772727272727273,34.25,5839.0,11678.0,22.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-011-150,2,1,1,0.3772727272727273,0.3772727272727273,34.25,5839.0,11678.0,22.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-011-160,2,1,1,0.3772727272727273,0.3772727272727273,34.25,5839.0,11678.0,22.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-011-85,2,1,1,0.3772727272727273,0.3772727272727273,34.25,5839.0,11678.0,22.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-011-90,2,1,1,0.3772727272727273,0.3772727272727273,34.25,5839.0,11678.0,22.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-145-100,2,1,1,0.5045454545454545,0.5045454545454545,27.25,1501.0,3002.0,24.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-145-110,2,1,1,0.5045454545454545,0.5045454545454545,27.25,1501.0,3002.0,24.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-145-120,2,1,1,0.5045454545454545,0.5045454545454545,27.25,1501.0,3002.0,24.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-145-130,2,1,1,0.5045454545454545,0.5045454545454545,27.25,1501.0,3002.0,24.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-145-140,2,1,1,0.5045454545454545,0.5045454545454545,27.25,1501.0,3002.0,24.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-145-150,2,1,1,0.5045454545454545,0.5045454545454545,27.25,1501.0,3002.0,24.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-145-160,2,1,1,0.5045454545454545,0.5045454545454545,27.25,1501.0,3002.0,24.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-145-85,2,1,1,0.5045454545454545,0.5045454545454545,27.25,1501.0,3002.0,24.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-145-90,2,1,1,0.5045454545454545,0.5045454545454545,27.25,1501.0,3002.0,24.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1AY-100,2,1,1,0.3772727272727273,0.3772727272727273,34.25,4777.0,9554.0,20.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1AY-110,2,1,1,0.3772727272727273,0.3772727272727273,34.25,4777.0,9554.0,20.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1AY-120,2,1,1,0.3772727272727273,0.3772727272727273,34.25,4777.0,9554.0,20.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1AY-130,2,1,1,0.3772727272727273,0.3772727272727273,34.25,4777.0,9554.0,20.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1AY-140,2,1,1,0.3772727272727273,0.3772727272727273,34.25,4777.0,9554.0,20.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1AY-150,2,1,1,0.3772727272727273,0.3772727272727273,34.25,4777.0,9554.0,20.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1AY-160,2,1,1,0.3772727272727273,0.3772727272727273,34.25,4777.0,9554.0,20.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1AY-85,2,1,1,0.3772727272727273,0.3772727272727273,34.25,4777.0,9554.0,20.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1AY-90,2,1,1,0.3772727272727273,0.3772727272727273,34.25,4777.0,9554.0,20.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1FL-100,2,1,1,0.3772727272727273,0.3772727272727273,34.25,1344.0,2688.0,14.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1FL-110,2,1,1,0.3772727272727273,0.3772727272727273,34.25,1344.0,2688.0,14.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1FL-120,2,1,1,0.3772727272727273,0.3772727272727273,34.25,1344.0,2688.0,14.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1FL-130,2,1,1,0.3772727272727273,0.3772727272727273,34.25,1344.0,2688.0,14.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1FL-140,2,1,1,0.3772727272727273,0.3772727272727273,34.25,1344.0,2688.0,14.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1FL-150,2,1,1,0.3772727272727273,0.3772727272727273,34.25,1344.0,2688.0,14.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1FL-160,2,1,1,0.3772727272727273,0.3772727272727273,34.25,1344.0,2688.0,14.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1FL-85,2,1,1,0.3772727272727273,0.3772727272727273,34.25,1344.0,2688.0,14.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-1FL-90,2,1,1,0.3772727272727273,0.3772727272727273,34.25,1344.0,2688.0,14.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-SR4-100,2,1,1,0.3,0.3,34.25,4725.0,9450.0,13.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-SR4-110,2,1,1,0.3,0.3,34.25,4725.0,9450.0,13.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-SR4-120,2,1,1,0.3,0.3,34.25,4725.0,9450.0,13.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
2026-07-07,33175-SR4-130,2,1,1,0.3,0.3,34.25,4725.0,9450.0,13.0,False,False,False,aggregate_promo_offers,Sleep/PJs,7.7.26 Xmas in July Sleep Starting @ $20 PDL,True
